stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6712,0.0171
0.0,conformal_risk_filter,0.7017,0.0254
0.0,proposed_branch_mechanism,0.7536,0.0219
0.0,oracle_branch_upper_bound,0.8119,0.0169
0.2,scalar_uncertainty_planner,0.6136,0.0177
0.2,conformal_risk_filter,0.6617,0.0254
0.2,proposed_branch_mechanism,0.7233,0.0186
0.2,oracle_branch_upper_bound,0.7933,0.0219
0.4,scalar_uncertainty_planner,0.5664,0.0150
0.4,conformal_risk_filter,0.6174,0.0233
0.4,proposed_branch_mechanism,0.6955,0.0188
0.4,oracle_branch_upper_bound,0.7721,0.0242
0.6,scalar_uncertainty_planner,0.5157,0.0159
0.6,conformal_risk_filter,0.5705,0.0253
0.6,proposed_branch_mechanism,0.6650,0.0207
0.6,oracle_branch_upper_bound,0.7526,0.0238
0.8,scalar_uncertainty_planner,0.4607,0.0176
0.8,conformal_risk_filter,0.5240,0.0225
0.8,proposed_branch_mechanism,0.6352,0.0233
0.8,oracle_branch_upper_bound,0.7312,0.0214
1.0,scalar_uncertainty_planner,0.4024,0.0204
1.0,conformal_risk_filter,0.4757,0.0260
1.0,proposed_branch_mechanism,0.6081,0.0236
1.0,oracle_branch_upper_bound,0.7112,0.0200
