stress_level,method,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
0.28,action_equivalence_invariance_audit_v5,0.815208,0.008968,0.620417,0.011626,0.80375,0.013998,0.692292,0.014761,0.035208,0.005322,0.015417,0.004839,0.013958,0.00404,0.01,0.003433,0.011458,0.003403,0.021667,0.003954,0.176042,0.008352,0.666667,0.010665,0.674583,0.012472,0.7875,0.009232,0.022708,0.00206,0.0,0.0,0.910599,0.006558,10
0.28,aggressive_augmentation_policy,0.61125,0.014394,0.551042,0.011994,0.25375,0.008364,0.394167,0.010731,0.189792,0.012166,0.091042,0.008822,0.081667,0.003982,0.061042,0.005446,0.105,0.006946,0.098333,0.010592,0.130417,0.010721,0.633125,0.015913,0.23875,0.01008,0.101458,0.006501,0.245,0.012223,0.0,0.0,0.596805,0.01348,10
0.28,conformal_shift_filter,0.67625,0.012298,0.435208,0.012614,0.556667,0.013458,0.517083,0.011254,0.106667,0.005438,0.045208,0.006415,0.046667,0.004481,0.035208,0.005692,0.039583,0.00738,0.054583,0.004423,0.195208,0.008885,0.478125,0.019203,0.467917,0.008677,0.561042,0.007431,0.0975,0.0075,0.0,0.0,0.736708,0.012776,10
0.28,oracle_invariance_validity_supervisor,0.882708,0.010491,0.706667,0.011138,0.869583,0.008783,0.7325,0.008239,0.011667,0.002524,0.005417,0.001846,0.007708,0.002793,0.004792,0.001727,0.00125,0.000903,0.0125,0.003278,0.179375,0.008177,0.745833,0.012295,0.729583,0.007067,0.817083,0.009347,0.012708,0.002543,0.0,0.0,0.958532,0.004816,10
0.28,physics_consistency_classifier,0.7025,0.008626,0.478333,0.018495,0.617917,0.016717,0.553542,0.016447,0.100208,0.006818,0.039375,0.002819,0.039792,0.005145,0.028125,0.006535,0.0475,0.009387,0.065208,0.006357,0.16875,0.011404,0.511458,0.018725,0.511667,0.013843,0.605625,0.017001,0.086667,0.009215,0.0,0.0,0.77163,0.006935,10
0.28,proposed_physical_invariance_audit_v4,0.772083,0.009894,0.59625,0.011642,0.735208,0.013412,0.637292,0.012555,0.052917,0.006361,0.025417,0.004208,0.024167,0.00499,0.01625,0.002709,0.024167,0.002803,0.040625,0.00673,0.177708,0.00878,0.643125,0.008168,0.60875,0.012649,0.702708,0.014673,0.046042,0.005036,0.0,0.0,0.858968,0.010689,10
0.38,action_equivalence_invariance_audit_v5,0.799375,0.018333,0.620833,0.012841,0.811458,0.010335,0.677917,0.012611,0.033333,0.004555,0.016042,0.002199,0.016042,0.002439,0.010625,0.002948,0.01375,0.003454,0.028542,0.004756,0.192708,0.015641,0.664375,0.009556,0.682917,0.015847,0.778333,0.012403,0.024375,0.003804,0.0,0.0,0.894171,0.014409,10
0.38,aggressive_augmentation_policy,0.593958,0.016006,0.536458,0.014266,0.26125,0.010405,0.394583,0.00597,0.212292,0.008086,0.095208,0.007653,0.082917,0.009147,0.061875,0.006119,0.118125,0.007431,0.11625,0.005403,0.136667,0.009987,0.632708,0.010168,0.237292,0.008935,0.099167,0.008825,0.256458,0.010981,0.0,0.0,0.574894,0.016191,10
0.38,conformal_shift_filter,0.683333,0.008715,0.435417,0.010076,0.560625,0.009419,0.509167,0.018039,0.113125,0.004598,0.052083,0.005272,0.049167,0.005383,0.028333,0.006999,0.038125,0.005903,0.062917,0.008252,0.198333,0.014221,0.473542,0.015508,0.475,0.013597,0.573958,0.00891,0.104375,0.01041,0.0,0.0,0.741824,0.009336,10
0.38,oracle_invariance_validity_supervisor,0.876042,0.012208,0.696667,0.014407,0.870208,0.006725,0.719375,0.010579,0.016875,0.004492,0.005417,0.001743,0.005417,0.001247,0.004583,0.001806,0.001667,0.001187,0.017708,0.003814,0.19125,0.008275,0.74875,0.010875,0.724792,0.012089,0.817708,0.010099,0.011458,0.004095,0.0,0.0,0.952918,0.007253,10
0.38,physics_consistency_classifier,0.707292,0.011776,0.468542,0.009099,0.613958,0.01552,0.542708,0.013709,0.098333,0.009367,0.045,0.003907,0.038542,0.004992,0.029583,0.004252,0.046458,0.004434,0.066667,0.006528,0.175208,0.012467,0.509167,0.017894,0.51,0.012186,0.624792,0.010392,0.087917,0.005539,0.0,0.0,0.775756,0.010525,10
0.38,proposed_physical_invariance_audit_v4,0.768958,0.010914,0.587708,0.015773,0.735833,0.016834,0.639167,0.012079,0.055208,0.007361,0.0275,0.003693,0.026875,0.002819,0.015,0.004252,0.029167,0.004128,0.04125,0.004339,0.184167,0.013072,0.64375,0.023417,0.615,0.00745,0.6975,0.013375,0.055208,0.005487,0.0,0.0,0.858495,0.009972,10
0.48,action_equivalence_invariance_audit_v5,0.7925,0.012208,0.6325,0.012684,0.798542,0.013612,0.671875,0.017864,0.037708,0.007662,0.018542,0.002314,0.011875,0.003047,0.008958,0.002793,0.015417,0.00245,0.035,0.004074,0.19125,0.008604,0.666875,0.021722,0.67375,0.012177,0.790417,0.011061,0.026667,0.003486,0.0,0.0,0.889308,0.009695,10
0.48,aggressive_augmentation_policy,0.577708,0.017611,0.533333,0.014053,0.263125,0.011898,0.38125,0.015083,0.222917,0.012052,0.098958,0.006274,0.083958,0.005238,0.067083,0.008207,0.118958,0.012555,0.123125,0.009595,0.152708,0.008031,0.63375,0.014182,0.234792,0.010787,0.106667,0.006745,0.262917,0.012693,0.0,0.0,0.555529,0.016462,10
0.48,conformal_shift_filter,0.660833,0.014568,0.422292,0.017516,0.567083,0.014695,0.511875,0.015072,0.11875,0.008694,0.050833,0.005172,0.047708,0.00771,0.031458,0.005217,0.045417,0.004119,0.065833,0.00731,0.207708,0.012006,0.469583,0.013587,0.46875,0.015815,0.57125,0.006854,0.114583,0.007505,0.0,0.0,0.720236,0.014301,10
0.48,oracle_invariance_validity_supervisor,0.882917,0.009347,0.7075,0.017122,0.868542,0.013699,0.71875,0.005201,0.013958,0.002657,0.007292,0.002042,0.005833,0.00242,0.002708,0.002282,0.002917,0.001516,0.018958,0.004104,0.18625,0.009276,0.745417,0.011221,0.728542,0.013908,0.826875,0.009786,0.013542,0.005102,0.0,0.0,0.96114,0.004514,10
0.48,physics_consistency_classifier,0.695417,0.012546,0.474375,0.015532,0.611667,0.016142,0.54125,0.009998,0.096042,0.007391,0.052083,0.006612,0.041875,0.003966,0.031667,0.003539,0.048333,0.00735,0.073333,0.003433,0.170417,0.009905,0.510208,0.013685,0.507917,0.010627,0.61375,0.014888,0.0975,0.006522,0.0,0.0,0.764525,0.012007,10
0.48,proposed_physical_invariance_audit_v4,0.758958,0.008458,0.600625,0.013653,0.735,0.01487,0.615417,0.015073,0.063125,0.004833,0.033958,0.0039,0.031458,0.002685,0.014583,0.003389,0.03125,0.004514,0.049167,0.005314,0.2,0.00686,0.628125,0.011441,0.623333,0.010557,0.7075,0.018535,0.056667,0.005229,0.0,0.0,0.847145,0.008158,10
0.58,action_equivalence_invariance_audit_v5,0.784792,0.009509,0.618958,0.014112,0.811667,0.011947,0.666042,0.015579,0.039167,0.004938,0.017917,0.003175,0.014792,0.002148,0.011042,0.003552,0.018333,0.003031,0.037708,0.003624,0.200208,0.010569,0.661458,0.016154,0.679167,0.014236,0.787917,0.007955,0.032292,0.004879,0.0,0.0,0.88162,0.006354,10
0.58,aggressive_augmentation_policy,0.568333,0.015154,0.533958,0.01255,0.252083,0.012696,0.349583,0.01278,0.226042,0.012815,0.108333,0.007455,0.090417,0.008867,0.066042,0.004263,0.12,0.010369,0.129792,0.007381,0.149583,0.012079,0.604375,0.015125,0.243125,0.009587,0.107292,0.0044,0.280208,0.014675,0.0,0.0,0.541134,0.015948,10
0.58,conformal_shift_filter,0.649375,0.013761,0.445417,0.012967,0.556042,0.012151,0.491667,0.011645,0.126667,0.008539,0.054167,0.003703,0.052292,0.006708,0.035,0.008604,0.047083,0.007941,0.07625,0.005813,0.20625,0.009232,0.480625,0.018772,0.474167,0.005717,0.579375,0.012166,0.119583,0.010153,0.0,0.0,0.703473,0.013796,10
0.58,oracle_invariance_validity_supervisor,0.873542,0.013881,0.703958,0.014916,0.860833,0.008386,0.722917,0.006442,0.01875,0.003652,0.004583,0.001187,0.006667,0.002568,0.003542,0.00193,0.004167,0.00161,0.03,0.005845,0.203125,0.011012,0.750208,0.0126,0.741875,0.011065,0.830208,0.012239,0.013125,0.003224,0.0,0.0,0.952483,0.009423,10
0.58,physics_consistency_classifier,0.685625,0.012862,0.464792,0.018041,0.615625,0.014726,0.521042,0.018367,0.109375,0.00642,0.048125,0.005109,0.051875,0.005821,0.035625,0.005947,0.057083,0.005314,0.079167,0.005579,0.169792,0.00824,0.509583,0.012101,0.513958,0.020354,0.611667,0.014925,0.094167,0.00712,0.0,0.0,0.749583,0.011761,10
0.58,proposed_physical_invariance_audit_v4,0.749375,0.009891,0.585208,0.010302,0.742708,0.010245,0.62875,0.012033,0.065417,0.0051,0.033333,0.008098,0.029792,0.003947,0.018333,0.003742,0.025625,0.004219,0.05,0.004304,0.197708,0.013019,0.63375,0.014895,0.599792,0.013658,0.705833,0.016103,0.06,0.004588,0.0,0.0,0.840073,0.008598,10
0.68,action_equivalence_invariance_audit_v5,0.788333,0.013682,0.611042,0.017579,0.802708,0.010241,0.654167,0.016825,0.0375,0.004473,0.019167,0.004785,0.015833,0.004182,0.013958,0.002513,0.019375,0.003655,0.040833,0.003907,0.192917,0.009532,0.660833,0.013222,0.673542,0.012971,0.798542,0.009606,0.02875,0.004506,0.0,0.0,0.882853,0.011545,10
0.68,aggressive_augmentation_policy,0.568333,0.015964,0.537917,0.013194,0.266875,0.011716,0.362917,0.014745,0.232292,0.006304,0.110417,0.006087,0.099167,0.00768,0.065,0.006522,0.125417,0.0089,0.149375,0.008168,0.16125,0.008239,0.625417,0.010592,0.236667,0.016959,0.108542,0.010248,0.27625,0.014763,0.0,0.0,0.540436,0.016506,10
0.68,conformal_shift_filter,0.644583,0.016728,0.423958,0.008742,0.544375,0.011882,0.491042,0.009352,0.133542,0.007291,0.056042,0.00771,0.05125,0.004563,0.03375,0.003486,0.055,0.00597,0.08,0.006001,0.215625,0.012523,0.4525,0.014247,0.478333,0.016426,0.589792,0.015113,0.12375,0.006184,0.0,0.0,0.697472,0.016201,10
0.68,oracle_invariance_validity_supervisor,0.85625,0.014507,0.683125,0.014728,0.865,0.008162,0.70625,0.014469,0.013958,0.004306,0.005417,0.002373,0.005208,0.001851,0.003125,0.001851,0.002292,0.000953,0.034375,0.00521,0.188333,0.007156,0.7375,0.010613,0.720417,0.013333,0.837917,0.007978,0.015417,0.003611,0.0,0.0,0.942376,0.01003,10
0.68,physics_consistency_classifier,0.6725,0.012765,0.464167,0.012881,0.607917,0.012634,0.525833,0.013857,0.117083,0.006745,0.049375,0.003705,0.052292,0.006455,0.032083,0.003662,0.055,0.006999,0.0825,0.009434,0.185625,0.012196,0.502708,0.013013,0.501042,0.01204,0.603958,0.014033,0.099167,0.010458,0.0,0.0,0.736037,0.012282,10
0.68,proposed_physical_invariance_audit_v4,0.7375,0.015327,0.589583,0.012144,0.733125,0.01515,0.608333,0.009547,0.064167,0.00655,0.029792,0.004557,0.028542,0.004638,0.019583,0.003811,0.032083,0.003454,0.055417,0.005172,0.193958,0.012702,0.6225,0.014453,0.618125,0.015662,0.71125,0.012463,0.055625,0.005131,0.0,0.0,0.825822,0.011441,10
0.78,action_equivalence_invariance_audit_v5,0.766667,0.011881,0.598958,0.014109,0.795417,0.014733,0.650208,0.010794,0.047083,0.004723,0.018125,0.003552,0.014167,0.003693,0.008542,0.002148,0.019792,0.003178,0.057292,0.006812,0.211042,0.012037,0.66375,0.014637,0.682083,0.021428,0.787292,0.012135,0.02625,0.006419,0.0,0.0,0.866437,0.008558,10
0.78,aggressive_augmentation_policy,0.554375,0.007391,0.525,0.006178,0.247708,0.008976,0.372708,0.013726,0.260417,0.013336,0.119792,0.007657,0.090625,0.005419,0.067292,0.007021,0.131667,0.006172,0.143333,0.012352,0.164792,0.00804,0.626875,0.012151,0.233333,0.011772,0.10375,0.011878,0.291042,0.010313,0.0,0.0,0.520212,0.007977,10
0.78,conformal_shift_filter,0.642708,0.015558,0.434792,0.017131,0.554167,0.011975,0.481458,0.013522,0.135208,0.012585,0.0575,0.006533,0.055833,0.005194,0.036458,0.003119,0.04625,0.004423,0.08625,0.007824,0.222083,0.011144,0.45375,0.017859,0.479167,0.015555,0.5825,0.015171,0.129792,0.008674,0.0,0.0,0.695354,0.014655,10
0.78,oracle_invariance_validity_supervisor,0.859583,0.010875,0.678333,0.009667,0.860417,0.008587,0.703958,0.011795,0.015,0.0017,0.006875,0.002922,0.008958,0.002361,0.004375,0.001769,0.002917,0.002037,0.036042,0.002726,0.207292,0.010495,0.74875,0.013843,0.727708,0.016615,0.822083,0.014497,0.010625,0.002469,0.0,0.0,0.94463,0.007582,10
0.78,physics_consistency_classifier,0.667083,0.014945,0.461458,0.013601,0.62125,0.018858,0.511667,0.010943,0.1325,0.008351,0.063125,0.004984,0.052292,0.005725,0.035625,0.004237,0.06375,0.005781,0.090625,0.007657,0.190208,0.015279,0.513958,0.00949,0.502917,0.014497,0.625208,0.011637,0.105417,0.007632,0.0,0.0,0.727146,0.014516,10
0.78,proposed_physical_invariance_audit_v4,0.721875,0.008374,0.549583,0.014286,0.726667,0.014142,0.593958,0.007366,0.068542,0.00771,0.039792,0.003919,0.028542,0.004175,0.017083,0.002495,0.031042,0.003675,0.063333,0.004723,0.205417,0.013283,0.623125,0.015808,0.610208,0.013356,0.726667,0.014908,0.052917,0.005781,0.0,0.0,0.811511,0.00742,10
0.88,action_equivalence_invariance_audit_v5,0.760833,0.012262,0.596458,0.016379,0.810208,0.016972,0.656458,0.00628,0.044167,0.004668,0.022292,0.004795,0.017292,0.003224,0.012083,0.002907,0.016875,0.003871,0.053125,0.004003,0.209583,0.009454,0.665417,0.013587,0.686458,0.015653,0.796458,0.011307,0.035208,0.005287,0.0,0.0,0.862664,0.010418,10
0.88,aggressive_augmentation_policy,0.541458,0.013806,0.529583,0.014858,0.259792,0.013028,0.363542,0.012685,0.274167,0.007534,0.1175,0.010043,0.102083,0.010855,0.069792,0.005783,0.141042,0.007074,0.155208,0.014663,0.17,0.011011,0.609583,0.013655,0.222917,0.01335,0.12,0.00957,0.305208,0.015688,0.0,0.0,0.50445,0.013382,10
0.88,conformal_shift_filter,0.62625,0.006729,0.425625,0.013544,0.554375,0.010516,0.475833,0.016904,0.1525,0.007524,0.055,0.005939,0.0525,0.006773,0.040625,0.005138,0.059583,0.006448,0.095833,0.004793,0.227708,0.011804,0.453542,0.013502,0.463125,0.009966,0.573125,0.013617,0.138958,0.005273,0.0,0.0,0.673583,0.008671,10
0.88,oracle_invariance_validity_supervisor,0.847917,0.011725,0.688333,0.012684,0.864375,0.01133,0.702083,0.009391,0.01875,0.002653,0.007917,0.002776,0.00625,0.002019,0.004583,0.002091,0.002708,0.002023,0.041875,0.00546,0.211042,0.012505,0.736458,0.00815,0.726042,0.011278,0.836458,0.011162,0.015417,0.003345,0.0,0.0,0.937024,0.006402,10
0.88,physics_consistency_classifier,0.655625,0.01372,0.467292,0.01077,0.606042,0.0145,0.507083,0.009762,0.125208,0.005322,0.058333,0.007073,0.049792,0.005426,0.035833,0.006635,0.06,0.006291,0.1025,0.008583,0.198542,0.008436,0.502292,0.009575,0.493958,0.011605,0.62,0.012131,0.112917,0.008838,0.0,0.0,0.715125,0.012911,10
0.88,proposed_physical_invariance_audit_v4,0.718333,0.011626,0.57125,0.01145,0.741667,0.013961,0.600208,0.018914,0.065625,0.009571,0.031042,0.005145,0.025208,0.005287,0.021875,0.004685,0.035625,0.005494,0.072708,0.008767,0.209792,0.011159,0.621875,0.011521,0.608333,0.016435,0.730625,0.007677,0.064583,0.009272,0.0,0.0,0.809198,0.009851,10
0.98,action_equivalence_invariance_audit_v5,0.760208,0.011652,0.59625,0.014845,0.811875,0.012006,0.650625,0.012579,0.04,0.002709,0.020417,0.003792,0.018958,0.004237,0.012292,0.002819,0.020417,0.003935,0.054583,0.005895,0.214583,0.011725,0.652917,0.017884,0.686458,0.013601,0.796667,0.011537,0.040208,0.008031,0.0,0.0,0.862541,0.010004,10
0.98,aggressive_augmentation_policy,0.540208,0.011975,0.529583,0.014338,0.23875,0.010547,0.347292,0.018088,0.282292,0.017936,0.115625,0.009415,0.115833,0.010494,0.073958,0.009494,0.14875,0.012567,0.172083,0.006865,0.167083,0.015081,0.6225,0.013166,0.225417,0.018168,0.11125,0.009114,0.305833,0.010557,0.0,0.0,0.49642,0.011577,10
0.98,conformal_shift_filter,0.62375,0.011161,0.43625,0.011569,0.538125,0.015206,0.463958,0.016682,0.158333,0.01476,0.069167,0.0058,0.062708,0.007662,0.042292,0.003852,0.056875,0.005935,0.097708,0.012775,0.231042,0.008553,0.459792,0.015897,0.475625,0.01372,0.575833,0.010207,0.138333,0.010977,0.0,0.0,0.667384,0.010986,10
0.98,oracle_invariance_validity_supervisor,0.842292,0.011773,0.683333,0.010786,0.865,0.00632,0.666875,0.012422,0.017917,0.004953,0.008542,0.002884,0.00875,0.002709,0.003542,0.001497,0.0025,0.001806,0.048542,0.00548,0.220417,0.010035,0.734375,0.01204,0.718958,0.010084,0.835833,0.006436,0.017083,0.004938,0.0,0.0,0.930474,0.007376,10
0.98,physics_consistency_classifier,0.641875,0.017845,0.454167,0.018423,0.615625,0.015864,0.5,0.013814,0.132292,0.008592,0.05375,0.004975,0.048958,0.005554,0.034375,0.004879,0.064583,0.010002,0.106875,0.007021,0.203542,0.010349,0.486875,0.017033,0.496667,0.012757,0.62375,0.014624,0.122292,0.007048,0.0,0.0,0.704062,0.016738,10
0.98,proposed_physical_invariance_audit_v4,0.698958,0.008462,0.565417,0.015426,0.736667,0.013897,0.58625,0.01545,0.069792,0.005783,0.035,0.003792,0.030208,0.006185,0.021042,0.003966,0.038125,0.005021,0.0725,0.008408,0.207708,0.009702,0.627292,0.009498,0.599792,0.013617,0.72125,0.016263,0.066875,0.007366,0.0,0.0,0.790667,0.008108,10
