stress_level,method,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
0.08,action_equivalence_invariance_audit_v5,0.814583,0.00989,0.635625,0.011951,0.813333,0.014135,0.693333,0.011088,0.027708,0.004598,0.01375,0.003345,0.010625,0.001968,0.007708,0.001497,0.00875,0.003092,0.010417,0.002919,0.168542,0.012074,0.67875,0.015671,0.683542,0.010066,0.7825,0.012507,0.022292,0.005647,0.0,0.0,0.909764,0.007015,10
0.08,aggressive_augmentation_policy,0.626042,0.014356,0.55625,0.00972,0.258958,0.011851,0.417917,0.010858,0.180208,0.007079,0.076042,0.007535,0.075833,0.008261,0.054583,0.006111,0.095,0.004398,0.092708,0.008506,0.125,0.012637,0.636875,0.01196,0.241875,0.009973,0.084167,0.005749,0.228958,0.007877,0.0,0.0,0.618332,0.014144,10
0.08,conformal_shift_filter,0.6975,0.008207,0.457292,0.007411,0.556667,0.010987,0.530417,0.008888,0.090208,0.009947,0.04,0.006522,0.0425,0.004481,0.031667,0.007598,0.034167,0.005279,0.04,0.002709,0.17125,0.007549,0.483333,0.018899,0.474167,0.007485,0.557083,0.015024,0.088333,0.008677,0.0,0.0,0.762281,0.008266,10
0.08,oracle_invariance_validity_supervisor,0.903542,0.010187,0.699792,0.01146,0.876875,0.008378,0.746667,0.012958,0.011042,0.003047,0.003333,0.001516,0.005417,0.002667,0.002292,0.001131,0.000625,0.000624,0.00375,0.0017,0.173958,0.012611,0.750833,0.011521,0.7325,0.015365,0.816667,0.00487,0.012917,0.002776,0.0,0.0,0.970026,0.005267,10
0.08,physics_consistency_classifier,0.718542,0.013217,0.484792,0.014546,0.611042,0.013197,0.562292,0.009498,0.084792,0.006179,0.038333,0.003762,0.03625,0.004047,0.026458,0.004717,0.039375,0.003071,0.046875,0.006535,0.160625,0.008356,0.5325,0.014265,0.510625,0.012658,0.613333,0.01539,0.072708,0.00604,0.0,0.0,0.789849,0.012182,10
0.08,proposed_physical_invariance_audit_v4,0.777917,0.010875,0.614167,0.006635,0.73875,0.013722,0.641875,0.012818,0.052083,0.009232,0.021042,0.005252,0.019375,0.003281,0.017083,0.004208,0.019583,0.003859,0.021042,0.005391,0.163333,0.007385,0.647083,0.012713,0.615417,0.017465,0.709792,0.014014,0.045417,0.007475,0.0,0.0,0.86683,0.010693,10
0.18,action_equivalence_invariance_audit_v5,0.810417,0.010076,0.628958,0.011904,0.8125,0.006778,0.684167,0.007988,0.032292,0.006125,0.014375,0.003189,0.014583,0.003497,0.009167,0.003056,0.011458,0.002935,0.01625,0.002776,0.173958,0.011807,0.667083,0.010309,0.686458,0.012931,0.782917,0.011287,0.021875,0.005751,0.0,0.0,0.904731,0.008805,10
0.18,aggressive_augmentation_policy,0.616042,0.013406,0.546667,0.012086,0.265417,0.009551,0.405833,0.010885,0.192292,0.010022,0.089167,0.007146,0.075625,0.005903,0.056042,0.008063,0.103125,0.010117,0.092917,0.006701,0.139792,0.014703,0.625208,0.016508,0.248333,0.01573,0.100625,0.008369,0.222917,0.014494,0.0,0.0,0.604097,0.012971,10
0.18,conformal_shift_filter,0.678542,0.013881,0.450208,0.011363,0.561667,0.014612,0.526875,0.013076,0.103125,0.005653,0.039792,0.007614,0.043333,0.004208,0.030625,0.004263,0.0375,0.004908,0.045833,0.007177,0.185208,0.01309,0.468958,0.012028,0.470417,0.013458,0.571042,0.015344,0.09875,0.009532,0.0,0.0,0.74144,0.012943,10
0.18,oracle_invariance_validity_supervisor,0.897292,0.011008,0.714167,0.008518,0.874375,0.011614,0.739583,0.016105,0.011667,0.00356,0.0075,0.001633,0.003958,0.001546,0.004167,0.00161,0.000833,0.000667,0.007708,0.001831,0.174167,0.009135,0.757708,0.015792,0.741875,0.013076,0.819167,0.012953,0.010833,0.003539,0.0,0.0,0.96691,0.005605,10
0.18,physics_consistency_classifier,0.711042,0.010753,0.483958,0.016105,0.61125,0.014446,0.538958,0.009132,0.087083,0.007299,0.043333,0.007041,0.040417,0.00597,0.025417,0.005505,0.037917,0.004074,0.054375,0.007638,0.159375,0.014901,0.521875,0.013696,0.518333,0.014695,0.600833,0.014446,0.0875,0.008098,0.0,0.0,0.780931,0.009204,10
0.18,proposed_physical_invariance_audit_v4,0.773333,0.01211,0.602917,0.011648,0.738958,0.015874,0.646458,0.0154,0.053958,0.00724,0.025,0.005201,0.023333,0.004506,0.014167,0.002495,0.021042,0.003071,0.029792,0.004984,0.161458,0.008104,0.641667,0.010786,0.608958,0.012251,0.697708,0.013873,0.046042,0.005391,0.0,0.0,0.862451,0.010574,10
