risk_budget,baseline,is_strongest_non_oracle,mean_utility_diff,ci95_utility_diff,wins_utility_over_seeds,mean_coverage_diff,ci95_coverage_diff,seeds
0.08,affordance_graph_verifier,no,0.265403,0.017073,10,0.208361,0.010623,10
0.08,aggressive_augmentation_policy,no,0.580252,0.012006,10,0.637,0.012042,10
0.08,causal_representation_proxy,no,0.34118,0.013402,10,0.295055,0.016178,10
0.08,conformal_shift_filter,no,0.286793,0.015424,10,0.239858,0.020759,10
0.08,contact_frame_verifier,no,0.257973,0.015976,10,0.217248,0.016339,10
0.08,contrastive_invariance_learner,no,0.460724,0.012688,10,0.451445,0.013477,10
0.08,domain_randomization,no,0.471411,0.012879,10,0.46255,0.023887,10
0.08,ensemble_disagreement_filter,no,0.31479,0.025857,10,0.261313,0.028535,10
0.08,equivariant_policy,no,0.50803,0.012175,10,0.51539,0.021666,10
0.08,invariant_risk_minimization_proxy,no,0.44458,0.012911,10,0.412512,0.017006,10
0.08,no_invariance_behavior_clone,no,0.456268,0.018508,10,0.39859,0.019245,10
0.08,oracle_invariance_validity_supervisor,no,-0.09048,0.015229,0,-0.031665,0.009755,10
0.08,physics_consistency_classifier,no,0.248253,0.018755,10,0.199899,0.020477,10
0.08,proposed_physical_invariance_audit_v4,yes,0.097489,0.010169,10,0.072905,0.009421,10
0.08,test_time_augmentation_voting,no,0.505003,0.008199,10,0.518018,0.010129,10
0.12,affordance_graph_verifier,no,0.256411,0.016466,10,0.194018,0.010097,10
0.12,aggressive_augmentation_policy,no,0.565309,0.01185,10,0.607697,0.011587,10
0.12,causal_representation_proxy,no,0.327735,0.013599,10,0.272936,0.015945,10
0.12,conformal_shift_filter,no,0.277173,0.01529,10,0.224393,0.02047,10
0.12,contact_frame_verifier,no,0.24821,0.015767,10,0.202168,0.016358,10
0.12,contrastive_invariance_learner,no,0.445788,0.012994,10,0.423868,0.0135,10
0.12,domain_randomization,no,0.456411,0.01315,10,0.434796,0.024581,10
0.12,ensemble_disagreement_filter,no,0.304582,0.025876,10,0.244485,0.028314,10
0.12,equivariant_policy,no,0.492248,0.012483,10,0.485171,0.021659,10
0.12,invariant_risk_minimization_proxy,no,0.431307,0.012957,10,0.387857,0.017272,10
0.12,no_invariance_behavior_clone,no,0.441801,0.018666,10,0.371109,0.019397,10
0.12,oracle_invariance_validity_supervisor,no,-0.089601,0.015152,0,-0.030635,0.009667,10
0.12,physics_consistency_classifier,no,0.239201,0.018571,10,0.186248,0.01969,10
0.12,proposed_physical_invariance_audit_v4,yes,0.094988,0.009947,10,0.0695,0.009343,10
0.12,test_time_augmentation_voting,no,0.489429,0.008907,10,0.488502,0.010569,10
0.16,affordance_graph_verifier,no,0.252108,0.016365,10,0.186953,0.010063,10
0.16,aggressive_augmentation_policy,no,0.552866,0.01176,10,0.582917,0.011546,10
0.16,causal_representation_proxy,no,0.320446,0.013831,10,0.260841,0.016156,10
0.16,conformal_shift_filter,no,0.272025,0.01524,10,0.21622,0.019883,10
0.16,contact_frame_verifier,no,0.24337,0.015561,10,0.194624,0.016156,10
0.16,contrastive_invariance_learner,no,0.434336,0.013061,10,0.402702,0.013629,10
0.16,domain_randomization,no,0.445361,0.013458,10,0.41437,0.02528,10
0.16,ensemble_disagreement_filter,no,0.299331,0.026029,10,0.235746,0.028314,10
0.16,equivariant_policy,no,0.480177,0.012749,10,0.461707,0.021392,10
0.16,invariant_risk_minimization_proxy,no,0.422215,0.013357,10,0.370695,0.018071,10
0.16,no_invariance_behavior_clone,no,0.432006,0.018904,10,0.352285,0.020103,10
0.16,oracle_invariance_validity_supervisor,no,-0.089496,0.015143,0,-0.030516,0.00969,10
0.16,physics_consistency_classifier,no,0.234857,0.018367,10,0.17969,0.019209,10
0.16,proposed_physical_invariance_audit_v4,yes,0.094256,0.009682,10,0.068552,0.009225,10
0.16,test_time_augmentation_voting,no,0.47769,0.009627,10,0.465947,0.010636,10
0.2,affordance_graph_verifier,no,0.250362,0.016377,10,0.183953,0.010096,10
0.2,aggressive_augmentation_policy,no,0.543931,0.011849,10,0.564503,0.011726,10
0.2,causal_representation_proxy,no,0.317262,0.013675,10,0.255454,0.016278,10
0.2,conformal_shift_filter,no,0.269914,0.015089,10,0.212813,0.019473,10
0.2,contact_frame_verifier,no,0.241363,0.015462,10,0.191445,0.016028,10
0.2,contrastive_invariance_learner,no,0.427456,0.013108,10,0.389836,0.013756,10
0.2,domain_randomization,no,0.438749,0.013917,10,0.401847,0.02584,10
0.2,ensemble_disagreement_filter,no,0.297299,0.02593,10,0.232323,0.028065,10
0.2,equivariant_policy,no,0.47206,0.013311,10,0.445754,0.021275,10
0.2,invariant_risk_minimization_proxy,no,0.416856,0.0137,10,0.360253,0.018726,10
0.2,no_invariance_behavior_clone,no,0.426948,0.019074,10,0.342286,0.020365,10
0.2,oracle_invariance_validity_supervisor,no,-0.089482,0.015147,0,-0.0305,0.0097,10
0.2,physics_consistency_classifier,no,0.232977,0.01836,10,0.176878,0.018959,10
0.2,proposed_physical_invariance_audit_v4,yes,0.094119,0.009617,10,0.06839,0.009187,10
0.2,test_time_augmentation_voting,no,0.469762,0.010122,10,0.450582,0.010852,10
