comparison,baseline,is_strongest_non_oracle,mean_success_diff,ci95_success_diff,wins_over_seeds,seeds,decision
proposed_physical_invariance_audit_vs_aggressive_augmentation_policy,aggressive_augmentation_policy,no,0.1304,0.0078,7,7,proposed_better
proposed_physical_invariance_audit_vs_conformal_shift_filter,conformal_shift_filter,yes,0.0727,0.0096,7,7,proposed_better
proposed_physical_invariance_audit_vs_contrastive_invariance_learner,contrastive_invariance_learner,no,0.0977,0.0091,7,7,proposed_better
proposed_physical_invariance_audit_vs_domain_randomization,domain_randomization,no,0.1094,0.0102,7,7,proposed_better
proposed_physical_invariance_audit_vs_equivariant_policy,equivariant_policy,no,0.1216,0.0072,7,7,proposed_better
proposed_physical_invariance_audit_vs_invariant_risk_minimization_proxy,invariant_risk_minimization_proxy,no,0.1017,0.0095,7,7,proposed_better
proposed_physical_invariance_audit_vs_no_invariance_behavior_clone,no_invariance_behavior_clone,no,0.1562,0.0108,7,7,proposed_better
proposed_physical_invariance_audit_vs_oracle_invariance_validity_supervisor,oracle_invariance_validity_supervisor,no,-0.1042,0.0126,0,7,not_decisive
