method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
action_equivalence_invariance_audit_v5,0,0.794048,0.013629,0.61131,0.016162,0.805357,0.012634,0.652381,0.015687,0.036607,0.006178,0.017857,0.004506,0.015179,0.00406,0.011607,0.003706,0.016369,0.004353,0.041667,0.006528,0.199702,0.014049,0.646429,0.016655,0.668155,0.016253,0.789881,0.01406,0.028571,0.005586,0.116964,0.013097,0.885098,0.011295,560
action_equivalence_invariance_audit_v5,1,0.793452,0.013491,0.602679,0.015952,0.803571,0.013917,0.668155,0.016482,0.040774,0.006796,0.021429,0.005048,0.016667,0.004462,0.011607,0.003706,0.015476,0.004337,0.04375,0.006769,0.19375,0.013136,0.661607,0.015519,0.685714,0.015761,0.795536,0.013545,0.029167,0.005978,0.116667,0.01238,0.884513,0.010854,560
action_equivalence_invariance_audit_v5,2,0.790179,0.013908,0.597917,0.016899,0.808631,0.013526,0.672321,0.015843,0.040179,0.00672,0.016369,0.004507,0.011012,0.003432,0.011012,0.003432,0.014881,0.004191,0.044345,0.006892,0.20744,0.014127,0.665179,0.01585,0.688393,0.015595,0.798512,0.014116,0.030952,0.006253,0.116369,0.012818,0.882518,0.01165,560
action_equivalence_invariance_audit_v5,3,0.774405,0.01442,0.608036,0.017297,0.810714,0.013207,0.670536,0.0153,0.038988,0.006352,0.016964,0.004416,0.016369,0.004353,0.01131,0.003475,0.016071,0.004477,0.041369,0.00667,0.195833,0.013452,0.652976,0.016246,0.689583,0.015973,0.796131,0.013953,0.03006,0.00609,0.127381,0.012962,0.868707,0.012287,560
action_equivalence_invariance_audit_v5,4,0.790476,0.014384,0.601488,0.017587,0.813393,0.013146,0.666964,0.015764,0.037202,0.00653,0.020536,0.004832,0.017857,0.00443,0.01131,0.003475,0.012798,0.004198,0.040774,0.00654,0.207738,0.013668,0.660417,0.016619,0.66875,0.016357,0.79256,0.014319,0.033036,0.00658,0.125,0.013479,0.88068,0.012064,560
action_equivalence_invariance_audit_v5,5,0.788988,0.01366,0.608631,0.016872,0.796726,0.013185,0.665476,0.016306,0.042262,0.007431,0.023214,0.005128,0.016369,0.004194,0.006845,0.002742,0.01369,0.004054,0.05119,0.007273,0.20744,0.014031,0.671429,0.016197,0.675595,0.015296,0.79256,0.014295,0.031845,0.005855,0.12381,0.012344,0.881537,0.011625,560
action_equivalence_invariance_audit_v5,6,0.782738,0.014496,0.622024,0.016178,0.809226,0.01315,0.650595,0.015998,0.036012,0.006257,0.01994,0.004778,0.01369,0.003883,0.013988,0.003919,0.016667,0.004226,0.041071,0.006859,0.204464,0.013545,0.653869,0.01649,0.684821,0.015886,0.811607,0.013282,0.027381,0.005806,0.13244,0.013047,0.874638,0.012285,560
action_equivalence_invariance_audit_v5,7,0.79256,0.013611,0.614881,0.016616,0.801488,0.013423,0.666369,0.015524,0.041071,0.006908,0.01875,0.004951,0.01369,0.003883,0.010417,0.003445,0.016964,0.004714,0.0375,0.006169,0.208631,0.013486,0.653274,0.016174,0.684524,0.015856,0.787798,0.014411,0.030952,0.005974,0.127381,0.012562,0.883942,0.011605,560
action_equivalence_invariance_audit_v5,8,0.781845,0.01408,0.615774,0.016231,0.802976,0.012784,0.652381,0.015556,0.045833,0.007094,0.017262,0.004597,0.009821,0.003357,0.009821,0.003254,0.014286,0.004286,0.03244,0.006005,0.19375,0.013342,0.672321,0.015318,0.676488,0.015525,0.793452,0.014157,0.030655,0.00629,0.133333,0.012892,0.873937,0.011934,560
action_equivalence_invariance_audit_v5,9,0.771726,0.013498,0.614881,0.01618,0.814583,0.012976,0.66756,0.016085,0.03125,0.00616,0.016369,0.004353,0.014583,0.004075,0.009524,0.003413,0.019345,0.004651,0.041964,0.006644,0.200893,0.013834,0.663988,0.01644,0.678571,0.01583,0.784226,0.014258,0.032143,0.0061,0.138988,0.012997,0.869543,0.011445,560
