variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5833,0.4167,0.0042
observed_only_behavior_clone,nominal,1,600,0.6017,0.3983,0.0060
observed_only_behavior_clone,nominal,2,600,0.6317,0.3683,0.0337
observed_only_behavior_clone,nominal,3,600,0.5817,0.4183,0.0018
observed_only_behavior_clone,nominal,4,600,0.5833,0.4167,0.0136
observed_only_behavior_clone,nominal,5,600,0.5750,0.4250,0.0063
observed_only_behavior_clone,nominal,6,600,0.5600,0.4400,0.0191
observed_only_behavior_clone,hidden_mode_shift,0,600,0.3883,0.6117,0.0111
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4133,0.5867,0.0026
observed_only_behavior_clone,hidden_mode_shift,2,600,0.3833,0.6167,0.0350
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4000,0.6000,0.0038
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4317,0.5683,0.0145
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3850,0.6150,0.0166
observed_only_behavior_clone,hidden_mode_shift,6,600,0.3917,0.6083,0.0077
observed_only_behavior_clone,embodiment_shift,0,600,0.4283,0.5717,0.0037
observed_only_behavior_clone,embodiment_shift,1,600,0.4467,0.5533,0.0019
observed_only_behavior_clone,embodiment_shift,2,600,0.4433,0.5567,0.0076
observed_only_behavior_clone,embodiment_shift,3,600,0.4500,0.5500,0.0136
observed_only_behavior_clone,embodiment_shift,4,600,0.4217,0.5783,0.0281
observed_only_behavior_clone,embodiment_shift,5,600,0.4233,0.5767,0.0109
observed_only_behavior_clone,embodiment_shift,6,600,0.4317,0.5683,0.0003
observed_only_behavior_clone,combined_stress,0,600,0.3083,0.6917,0.0061
observed_only_behavior_clone,combined_stress,1,600,0.3100,0.6900,0.0210
observed_only_behavior_clone,combined_stress,2,600,0.3000,0.7000,0.0333
observed_only_behavior_clone,combined_stress,3,600,0.3033,0.6967,0.0154
observed_only_behavior_clone,combined_stress,4,600,0.3217,0.6783,0.0105
observed_only_behavior_clone,combined_stress,5,600,0.3050,0.6950,0.0116
observed_only_behavior_clone,combined_stress,6,600,0.3233,0.6767,0.0090
data_augmentation_wam,nominal,0,600,0.6283,0.3717,0.0219
data_augmentation_wam,nominal,1,600,0.6633,0.3367,0.0158
data_augmentation_wam,nominal,2,600,0.5933,0.4067,0.0437
data_augmentation_wam,nominal,3,600,0.6317,0.3683,0.0196
data_augmentation_wam,nominal,4,600,0.6450,0.3550,0.0017
data_augmentation_wam,nominal,5,600,0.6517,0.3483,0.0219
data_augmentation_wam,nominal,6,600,0.6550,0.3450,0.0158
data_augmentation_wam,hidden_mode_shift,0,600,0.4817,0.5183,0.0183
data_augmentation_wam,hidden_mode_shift,1,600,0.5050,0.4950,0.0078
data_augmentation_wam,hidden_mode_shift,2,600,0.4783,0.5217,0.0084
data_augmentation_wam,hidden_mode_shift,3,600,0.5067,0.4933,0.0057
data_augmentation_wam,hidden_mode_shift,4,600,0.4917,0.5083,0.0047
data_augmentation_wam,hidden_mode_shift,5,600,0.4900,0.5100,0.0105
data_augmentation_wam,hidden_mode_shift,6,600,0.4617,0.5383,0.0272
data_augmentation_wam,embodiment_shift,0,600,0.5350,0.4650,0.0077
data_augmentation_wam,embodiment_shift,1,600,0.5133,0.4867,0.0113
data_augmentation_wam,embodiment_shift,2,600,0.5267,0.4733,0.0126
data_augmentation_wam,embodiment_shift,3,600,0.4967,0.5033,0.0317
