risk_budget,method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,groups
0.08,affordance_graph_verifier,0,0.52109,0.043558,0.458333,0.04368,0.5625,0.041245,0.491667,0.042266,0.116667,0.028705,0.077083,0.024616,0.039583,0.021148,0.054167,0.018169,0.066667,0.023676,0.122917,0.026467,0.183333,0.035156,0.477083,0.048877,0.539583,0.045847,0.597917,0.041781,0.116667,0.034575,0.0,0.0,0.548336,0.046748,0.696267,0.043939,0.074708,0.014535,80
0.08,affordance_graph_verifier,1,0.474929,0.040392,0.445833,0.043008,0.564583,0.047029,0.464583,0.043755,0.147917,0.032352,0.060417,0.021148,0.052083,0.020622,0.047917,0.01762,0.077083,0.02392,0.129167,0.031816,0.208333,0.033634,0.49375,0.040027,0.497917,0.052137,0.641667,0.041132,0.127083,0.030883,0.0,0.0,0.499142,0.04336,0.665367,0.050724,0.083583,0.013121,80
0.08,affordance_graph_verifier,2,0.462003,0.036007,0.43125,0.039709,0.572917,0.043426,0.5,0.036753,0.135417,0.036796,0.066667,0.025062,0.039583,0.019486,0.035417,0.016119,0.058333,0.020214,0.114583,0.028227,0.189583,0.036171,0.508333,0.048931,0.472917,0.042083,0.658333,0.044598,0.114583,0.028227,0.0,0.0,0.491389,0.037634,0.654183,0.040841,0.072583,0.012835,80
0.08,affordance_graph_verifier,3,0.482466,0.037912,0.460417,0.052056,0.566667,0.043331,0.504167,0.043477,0.15,0.034673,0.052083,0.018914,0.039583,0.016685,0.047917,0.021108,0.058333,0.023317,0.108333,0.026053,0.23125,0.038324,0.51875,0.043484,0.48125,0.045384,0.629167,0.043477,0.1125,0.030069,0.0,0.0,0.50418,0.039674,0.647162,0.042605,0.074958,0.013823,80
0.08,affordance_graph_verifier,4,0.465325,0.033833,0.464583,0.04452,0.58125,0.048617,0.49375,0.043659,0.122917,0.032221,0.070833,0.027117,0.039583,0.017668,0.035417,0.017134,0.08125,0.022502,0.122917,0.024478,0.175,0.033332,0.460417,0.043192,0.48125,0.042701,0.635417,0.042343,0.15,0.036569,0.0,0.0,0.496633,0.034541,0.658162,0.042493,0.077208,0.013393,80
0.08,affordance_graph_verifier,5,0.494367,0.037551,0.470833,0.043008,0.577083,0.040237,0.527083,0.04327,0.133333,0.034575,0.060417,0.021148,0.027083,0.013558,0.039583,0.016685,0.047917,0.018554,0.10625,0.027407,0.185417,0.034376,0.483333,0.047424,0.458333,0.042505,0.635417,0.045048,0.135417,0.031879,0.0,0.0,0.525191,0.03828,0.642633,0.043333,0.066333,0.01188,80
0.08,affordance_graph_verifier,6,0.480343,0.038678,0.439583,0.047653,0.570833,0.048888,0.489583,0.040405,0.114583,0.032663,0.0875,0.026614,0.045833,0.018353,0.0375,0.016411,0.075,0.023889,0.1125,0.032237,0.208333,0.036057,0.464583,0.054107,0.504167,0.038536,0.641667,0.041945,0.15,0.037481,0.0,0.0,0.510428,0.040372,0.680412,0.038954,0.077583,0.013825,80
0.08,affordance_graph_verifier,7,0.478264,0.035511,0.41875,0.047208,0.591667,0.041459,0.514583,0.039496,0.139583,0.0331,0.05625,0.020083,0.04375,0.018139,0.039583,0.020334,0.072917,0.025226,0.116667,0.028111,0.25,0.038982,0.4625,0.040668,0.464583,0.042183,0.627083,0.041599,0.108333,0.031348,0.0,0.0,0.504832,0.039401,0.634342,0.04666,0.07725,0.014858,80
0.08,affordance_graph_verifier,8,0.512351,0.043771,0.485417,0.043948,0.6125,0.041814,0.520833,0.039573,0.1125,0.029503,0.05625,0.022464,0.05,0.017817,0.03125,0.014345,0.054167,0.022337,0.09375,0.027774,0.172917,0.034596,0.5125,0.046407,0.508333,0.040219,0.610417,0.043075,0.129167,0.03128,0.0,0.0,0.550645,0.045059,0.683554,0.041005,0.065125,0.012323,80
0.08,affordance_graph_verifier,9,0.491293,0.035212,0.427083,0.051599,0.59375,0.041027,0.475,0.045794,0.114583,0.031613,0.066667,0.02143,0.045833,0.020932,0.041667,0.01883,0.06875,0.021504,0.089583,0.027222,0.222917,0.038958,0.489583,0.045142,0.4875,0.045674,0.633333,0.047708,0.110417,0.029599,0.0,0.0,0.523876,0.039375,0.660825,0.045284,0.072458,0.012796,80
0.08,aggressive_augmentation_policy,0,0.261615,0.026592,0.508333,0.043835,0.25625,0.036727,0.339583,0.04592,0.270833,0.045895,0.120833,0.030182,0.102083,0.029911,0.08125,0.031291,0.1625,0.030736,0.135417,0.032404,0.1875,0.035999,0.583333,0.040678,0.2375,0.038448,0.089583,0.025293,0.297917,0.051222,0.0,0.0,0.208037,0.027317,0.234158,0.038989,0.161583,0.020442,80
0.08,aggressive_augmentation_policy,1,0.248339,0.021721,0.483333,0.047779,0.283333,0.041255,0.364583,0.041538,0.233333,0.047779,0.139583,0.029883,0.145833,0.034071,0.077083,0.025293,0.145833,0.032027,0.197917,0.038148,0.147917,0.030746,0.583333,0.042306,0.216667,0.034575,0.122917,0.031155,0.314583,0.047208,0.0,0.0,0.197399,0.024378,0.216371,0.038384,0.157458,0.021843,80
0.08,aggressive_augmentation_policy,2,0.260561,0.027955,0.535417,0.046378,0.23125,0.035583,0.35625,0.040571,0.277083,0.047546,0.116667,0.028111,0.097917,0.028286,0.060417,0.020334,0.127083,0.036404,0.1375,0.031172,0.145833,0.031496,0.60625,0.046578,0.220833,0.034758,0.1125,0.031709,0.254167,0.047911,0.0,0.0,0.21148,0.030402,0.231988,0.039067,0.148542,0.02174,80
0.08,aggressive_augmentation_policy,3,0.251581,0.030004,0.477083,0.042203,0.25625,0.036264,0.345833,0.038885,0.277083,0.044235,0.125,0.028764,0.120833,0.027241,0.064583,0.02054,0.179167,0.03524,0.14375,0.031155,0.1875,0.030955,0.64375,0.049221,0.241667,0.038503,0.110417,0.030164,0.345833,0.05287,0.0,0.0,0.195566,0.03135,0.228604,0.041173,0.169833,0.019528,80
0.08,aggressive_augmentation_policy,4,0.232566,0.027416,0.522917,0.042602,0.23125,0.036054,0.385417,0.046704,0.25625,0.045736,0.116667,0.03204,0.11875,0.029168,0.075,0.023172,0.147917,0.034864,0.195833,0.035716,0.183333,0.035633,0.625,0.048096,0.229167,0.035999,0.10625,0.02977,0.333333,0.051651,0.0,0.0,0.184306,0.028808,0.228958,0.040399,0.154875,0.021015,80
0.08,aggressive_augmentation_policy,5,0.261697,0.028849,0.5625,0.044778,0.279167,0.039744,0.385417,0.04486,0.275,0.043912,0.102083,0.027561,0.110417,0.032326,0.066667,0.022952,0.139583,0.030443,0.195833,0.036649,0.170833,0.03581,0.6625,0.04648,0.239583,0.036681,0.13125,0.030581,0.333333,0.05326,0.0,0.0,0.212878,0.031157,0.250658,0.04016,0.151917,0.0199,80
0.08,aggressive_augmentation_policy,6,0.249453,0.033306,0.529167,0.04417,0.279167,0.040998,0.339583,0.04665,0.252083,0.044634,0.13125,0.033732,0.122917,0.028906,0.070833,0.023081,0.13125,0.032195,0.129167,0.03286,0.179167,0.032237,0.602083,0.044823,0.220833,0.034758,0.110417,0.028435,0.29375,0.050742,0.0,0.0,0.203219,0.036325,0.230396,0.040521,0.151667,0.019812,80
0.08,aggressive_augmentation_policy,7,0.231603,0.027736,0.5375,0.047557,0.25,0.046124,0.345833,0.040998,0.222917,0.044615,0.104167,0.024223,0.089583,0.029023,0.06875,0.024444,0.141667,0.037705,0.15,0.034673,0.18125,0.030856,0.602083,0.046668,0.222917,0.040655,0.127083,0.034006,0.345833,0.050918,0.0,0.0,0.190494,0.029077,0.24665,0.042613,0.137333,0.020426,80
0.08,aggressive_augmentation_policy,8,0.244307,0.027697,0.541667,0.04368,0.23125,0.037881,0.335417,0.048094,0.245833,0.045748,0.129167,0.028454,0.116667,0.027503,0.075,0.024586,0.152083,0.036381,0.15,0.031616,0.1875,0.034563,0.602083,0.040882,0.21875,0.038806,0.1125,0.029503,0.304167,0.04677,0.0,0.0,0.193905,0.030405,0.22495,0.043753,0.155542,0.020702,80
0.08,aggressive_augmentation_policy,9,0.260445,0.026081,0.485417,0.045086,0.241667,0.040219,0.345833,0.036186,0.26875,0.048791,0.1,0.02823,0.102083,0.026307,0.091667,0.027809,0.15,0.031077,0.172917,0.0331,0.170833,0.031816,0.566667,0.046707,0.239583,0.040195,0.116667,0.031509,0.275,0.048654,0.0,0.0,0.20887,0.027262,0.243792,0.040827,0.154833,0.018717,80
0.08,causal_representation_proxy,0,0.413092,0.034744,0.489583,0.042043,0.535417,0.042582,0.45,0.043253,0.154167,0.036649,0.083333,0.024655,0.064583,0.022874,0.04375,0.017183,0.070833,0.0245,0.122917,0.028316,0.214583,0.040342,0.510417,0.047333,0.435417,0.042898,0.520833,0.045526,0.16875,0.035105,0.0,0.0,0.423186,0.037198,0.577142,0.046313,0.088833,0.01494,80
0.08,causal_representation_proxy,1,0.442691,0.041174,0.489583,0.038697,0.522917,0.044158,0.4125,0.046115,0.183333,0.033685,0.108333,0.028528,0.072917,0.021622,0.039583,0.019486,0.06875,0.025125,0.108333,0.030251,0.197917,0.036334,0.54375,0.042602,0.460417,0.045477,0.5,0.04792,0.147917,0.03675,0.0,0.0,0.4455,0.044124,0.588371,0.047523,0.100542,0.013697,80
0.08,causal_representation_proxy,2,0.46814,0.03913,0.502083,0.048443,0.566667,0.043719,0.475,0.047246,0.195833,0.039317,0.097917,0.028877,0.060417,0.021148,0.054167,0.021568,0.0875,0.026614,0.091667,0.028409,0.183333,0.032146,0.514583,0.043172,0.477083,0.046758,0.491667,0.046453,0.179167,0.040166,0.0,0.0,0.473419,0.042458,0.595708,0.051189,0.107042,0.016158,80
0.08,causal_representation_proxy,3,0.445876,0.039064,0.445833,0.044551,0.504167,0.04648,0.491667,0.048236,0.158333,0.033332,0.077083,0.022464,0.04375,0.018139,0.064583,0.022123,0.089583,0.027835,0.108333,0.031348,0.2125,0.037649,0.522917,0.04853,0.429167,0.042614,0.485417,0.048687,0.14375,0.037093,0.0,0.0,0.45183,0.041587,0.562538,0.04549,0.0935,0.013291,80
0.08,causal_representation_proxy,4,0.436806,0.037699,0.477083,0.040986,0.504167,0.047201,0.4625,0.047557,0.166667,0.035348,0.079167,0.025313,0.052083,0.021425,0.04375,0.018139,0.1,0.02823,0.125,0.029915,0.191667,0.037705,0.539583,0.048356,0.504167,0.044247,0.529167,0.040998,0.183333,0.037481,0.0,0.0,0.448049,0.041061,0.638413,0.04839,0.097833,0.015333,80
0.08,causal_representation_proxy,5,0.43688,0.03746,0.464583,0.042976,0.54375,0.048877,0.491667,0.038503,0.195833,0.036649,0.077083,0.023204,0.041667,0.016942,0.041667,0.01883,0.0625,0.022033,0.114583,0.027004,0.204167,0.033872,0.475,0.049,0.43125,0.043368,0.489583,0.044766,0.141667,0.032407,0.0,0.0,0.444343,0.038304,0.568175,0.043687,0.091292,0.013213,80
0.08,causal_representation_proxy,6,0.409072,0.037167,0.483333,0.044485,0.51875,0.043484,0.464583,0.042976,0.160417,0.034105,0.06875,0.022276,0.070833,0.0245,0.039583,0.019486,0.083333,0.027869,0.095833,0.023801,0.160417,0.034596,0.572917,0.044197,0.429167,0.041814,0.5125,0.045303,0.1625,0.038095,0.0,0.0,0.418057,0.038562,0.567512,0.042326,0.091958,0.014246,80
0.08,causal_representation_proxy,7,0.408113,0.036621,0.4875,0.044928,0.554167,0.040998,0.464583,0.039282,0.164583,0.032612,0.085417,0.02465,0.064583,0.02054,0.052083,0.023672,0.091667,0.025263,0.116667,0.029287,0.175,0.036707,0.541667,0.048096,0.404167,0.048888,0.479167,0.045895,0.160417,0.035559,0.0,0.0,0.410697,0.039516,0.529283,0.051198,0.098958,0.015231,80
0.08,causal_representation_proxy,8,0.422563,0.043072,0.447917,0.040924,0.541667,0.040051,0.447917,0.047064,0.154167,0.032237,0.083333,0.02533,0.058333,0.021033,0.05,0.01874,0.102083,0.03047,0.083333,0.028469,0.18125,0.031932,0.48125,0.040675,0.420833,0.047557,0.508333,0.05259,0.164583,0.038762,0.0,0.0,0.42607,0.045358,0.549125,0.047234,0.097958,0.014964,80
0.08,causal_representation_proxy,9,0.445568,0.045871,0.458333,0.040051,0.495833,0.043477,0.464583,0.040965,0.141667,0.032407,0.079167,0.023942,0.047917,0.021108,0.035417,0.016119,0.0875,0.024637,0.108333,0.030805,0.185417,0.038103,0.5125,0.047486,0.4375,0.042851,0.5,0.046124,0.135417,0.03343,0.0,0.0,0.455729,0.049093,0.5797,0.045705,0.086417,0.013372,80
0.08,conformal_shift_filter,0,0.457455,0.037646,0.429167,0.04417,0.535417,0.040551,0.48125,0.047918,0.133333,0.031509,0.064583,0.021347,0.070833,0.023081,0.0375,0.019251,0.072917,0.02385,0.102083,0.025657,0.23125,0.039196,0.45,0.049446,0.464583,0.040965,0.55625,0.0479,0.147917,0.031826,0.0,0.0,0.474345,0.040733,0.620112,0.039401,0.081333,0.014052,80
0.08,conformal_shift_filter,1,0.516229,0.039765,0.43125,0.042582,0.575,0.052268,0.4625,0.048957,0.125,0.026945,0.072917,0.021622,0.045833,0.019251,0.01875,0.011613,0.047917,0.019442,0.091667,0.026567,0.220833,0.038448,0.4375,0.046986,0.4875,0.047486,0.585417,0.048617,0.114583,0.031074,0.0,0.0,0.542756,0.042334,0.658671,0.04879,0.067083,0.011862,80
0.08,conformal_shift_filter,2,0.47754,0.036048,0.427083,0.049256,0.545833,0.045748,0.458333,0.043292,0.172917,0.037859,0.0625,0.019599,0.04375,0.020745,0.060417,0.021932,0.047917,0.016634,0.114583,0.028227,0.254167,0.034367,0.41875,0.043484,0.458333,0.0452,0.59375,0.045699,0.16875,0.036054,0.0,0.0,0.492329,0.03808,0.618871,0.04527,0.081375,0.014631,80
0.08,conformal_shift_filter,3,0.48773,0.038615,0.475,0.051355,0.529167,0.040584,0.466667,0.044409,0.166667,0.034867,0.070833,0.0245,0.058333,0.021821,0.033333,0.014701,0.045833,0.019251,0.1,0.027008,0.2,0.035538,0.425,0.04105,0.545833,0.040668,0.560417,0.043581,0.127083,0.032482,0.0,0.0,0.50925,0.039445,0.701671,0.039965,0.079833,0.012494,80
0.08,conformal_shift_filter,4,0.463041,0.039171,0.4625,0.044247,0.572917,0.043813,0.46875,0.047243,0.145833,0.037379,0.05625,0.023204,0.070833,0.02077,0.045833,0.019251,0.052083,0.019787,0.1125,0.026487,0.229167,0.035526,0.477083,0.045291,0.466667,0.043642,0.585417,0.044254,0.15,0.035633,0.0,0.0,0.483794,0.041589,0.625954,0.042278,0.077583,0.014627,80
0.08,conformal_shift_filter,5,0.487302,0.033701,0.416667,0.041905,0.560417,0.038214,0.514583,0.041983,0.147917,0.035819,0.060417,0.020334,0.045833,0.019251,0.039583,0.019486,0.058333,0.023317,0.10625,0.030332,0.202083,0.034228,0.485417,0.045828,0.4625,0.046115,0.589583,0.045366,0.145833,0.032027,0.0,0.0,0.509087,0.035147,0.621767,0.043182,0.075958,0.013995,80
0.08,conformal_shift_filter,6,0.474164,0.041605,0.4375,0.044399,0.55625,0.046831,0.475,0.041541,0.13125,0.031128,0.083333,0.023245,0.066667,0.022952,0.047917,0.020292,0.04375,0.019048,0.0875,0.024637,0.19375,0.036956,0.43125,0.040132,0.458333,0.046307,0.572917,0.045328,0.129167,0.036741,0.0,0.0,0.496521,0.04298,0.622892,0.048753,0.076042,0.012806,80
0.08,conformal_shift_filter,7,0.457016,0.039213,0.441667,0.049,0.570833,0.047486,0.483333,0.042146,0.170833,0.043864,0.06875,0.023021,0.045833,0.019251,0.03125,0.018462,0.066667,0.02143,0.10625,0.026784,0.222917,0.037184,0.454167,0.045377,0.420833,0.043477,0.533333,0.046634,0.139583,0.036031,0.0,0.0,0.468488,0.040459,0.569058,0.046109,0.084458,0.013943,80
0.08,conformal_shift_filter,8,0.453933,0.041389,0.45,0.046995,0.558333,0.046161,0.49375,0.045551,0.135417,0.030801,0.060417,0.022689,0.0625,0.023515,0.035417,0.017134,0.064583,0.018825,0.108333,0.02793,0.216667,0.037391,0.429167,0.049232,0.477083,0.047475,0.597917,0.044898,0.120833,0.03128,0.0,0.0,0.477134,0.043192,0.647658,0.048339,0.077,0.012354,80
0.08,conformal_shift_filter,9,0.469467,0.042897,0.4375,0.047344,0.575,0.041459,0.452083,0.043948,0.14375,0.036171,0.05,0.020463,0.060417,0.019486,0.047917,0.021893,0.060417,0.021932,0.1,0.027626,0.235417,0.037523,0.445833,0.043399,0.458333,0.047388,0.58125,0.045384,0.13125,0.032715,0.0,0.0,0.487041,0.044794,0.621283,0.04946,0.077042,0.013881,80
0.08,contact_frame_verifier,0,0.495114,0.039079,0.472917,0.040446,0.60625,0.043967,0.475,0.049,0.14375,0.034743,0.047917,0.01762,0.05625,0.020907,0.039583,0.017668,0.058333,0.021033,0.089583,0.024616,0.216667,0.039584,0.508333,0.040636,0.5,0.043097,0.658333,0.046453,0.11875,0.029168,0.0,0.0,0.526846,0.039418,0.67775,0.042051,0.074375,0.013166,80
0.08,contact_frame_verifier,1,0.518361,0.037995,0.445833,0.04417,0.554167,0.044551,0.5,0.043873,0.141667,0.031882,0.052083,0.020622,0.041667,0.016942,0.041667,0.01883,0.054167,0.019941,0.095833,0.025842,0.208333,0.038327,0.458333,0.048446,0.477083,0.050908,0.6125,0.040998,0.114583,0.033176,0.0,0.0,0.545175,0.040702,0.650821,0.049427,0.071292,0.012094,80
0.08,contact_frame_verifier,2,0.482417,0.039787,0.45625,0.042602,0.5875,0.046115,0.539583,0.042799,0.145833,0.034563,0.052083,0.021425,0.052083,0.021425,0.045833,0.017409,0.064583,0.022123,0.09375,0.02716,0.220833,0.040584,0.49375,0.048773,0.5,0.042703,0.620833,0.047557,0.139583,0.037859,0.0,0.0,0.513456,0.04183,0.671021,0.043595,0.077583,0.013091,80
0.08,contact_frame_verifier,3,0.494672,0.037906,0.45625,0.049563,0.56875,0.043368,0.495833,0.046842,0.110417,0.030719,0.060417,0.023421,0.060417,0.022689,0.0375,0.018353,0.079167,0.023942,0.097917,0.027683,0.216667,0.037839,0.514583,0.04433,0.527083,0.045551,0.577083,0.050974,0.15625,0.04082,0.0,0.0,0.523864,0.041076,0.6872,0.048314,0.075292,0.012896,80
0.08,contact_frame_verifier,4,0.471982,0.035168,0.458333,0.0452,0.570833,0.048192,0.50625,0.04665,0.1125,0.030626,0.066667,0.023676,0.066667,0.022204,0.041667,0.015914,0.064583,0.0236,0.089583,0.027835,0.216667,0.038283,0.504167,0.04648,0.445833,0.044551,0.595833,0.047486,0.13125,0.030581,0.0,0.0,0.498262,0.038241,0.61375,0.045412,0.074042,0.01305,80
0.08,contact_frame_verifier,5,0.510993,0.04139,0.472917,0.04168,0.5875,0.046842,0.516667,0.044863,0.11875,0.034474,0.05625,0.020083,0.058333,0.021033,0.04375,0.021543,0.0625,0.019599,0.108333,0.026693,0.175,0.038503,0.504167,0.045748,0.5,0.043097,0.645833,0.046262,0.104167,0.030955,0.0,0.0,0.543954,0.04359,0.677162,0.043935,0.071958,0.012834,80
0.08,contact_frame_verifier,6,0.492119,0.037441,0.404167,0.043008,0.614583,0.040924,0.504167,0.041895,0.147917,0.038544,0.05625,0.023204,0.054167,0.02077,0.029167,0.013965,0.060417,0.019486,0.102083,0.027561,0.18125,0.032456,0.50625,0.042083,0.483333,0.044103,0.58125,0.045011,0.13125,0.034718,0.0,0.0,0.521782,0.041232,0.643958,0.045127,0.075917,0.013629,80
0.08,contact_frame_verifier,7,0.51733,0.040556,0.45,0.044787,0.595833,0.041408,0.479167,0.045526,0.139583,0.026275,0.039583,0.01564,0.0625,0.022786,0.039583,0.019486,0.075,0.023889,0.095833,0.0245,0.164583,0.032612,0.508333,0.049956,0.464583,0.04452,0.6125,0.047486,0.110417,0.032326,0.0,0.0,0.541384,0.043136,0.634546,0.043414,0.077875,0.01296,80
0.08,contact_frame_verifier,8,0.485678,0.03445,0.435417,0.047029,0.614583,0.04486,0.4875,0.040166,0.141667,0.035869,0.066667,0.02143,0.052083,0.019787,0.04375,0.020745,0.070833,0.028925,0.116667,0.029287,0.229167,0.039998,0.5,0.045386,0.472917,0.04327,0.60625,0.039088,0.1,0.032146,0.0,0.0,0.507065,0.036621,0.634887,0.04496,0.080833,0.014999,80
0.08,contact_frame_verifier,9,0.480999,0.03253,0.464583,0.041781,0.591667,0.047174,0.4875,0.047486,0.125,0.030474,0.064583,0.0236,0.052083,0.020622,0.035417,0.017134,0.070833,0.027117,0.108333,0.02793,0.204167,0.034855,0.5375,0.040668,0.475,0.046887,0.614583,0.040509,0.10625,0.031425,0.0,0.0,0.507166,0.034544,0.642946,0.045784,0.075458,0.013398,80
0.08,contrastive_invariance_learner,0,0.343813,0.034941,0.489583,0.044005,0.4,0.043331,0.452083,0.04433,0.2125,0.04149,0.122917,0.029485,0.075,0.025923,0.045833,0.019251,0.10625,0.031425,0.158333,0.0353,0.14375,0.032741,0.635417,0.043909,0.3625,0.042614,0.297917,0.043755,0.202083,0.036148,0.0,0.0,0.321793,0.037113,0.424137,0.046684,0.1225,0.018919,80
0.08,contrastive_invariance_learner,1,0.35203,0.036508,0.516667,0.04294,0.370833,0.039829,0.425,0.048236,0.1875,0.040833,0.122917,0.033757,0.09375,0.026531,0.0625,0.022033,0.095833,0.02518,0.141667,0.031348,0.164583,0.03652,0.58125,0.044634,0.379167,0.045004,0.320833,0.035716,0.197917,0.040717,0.0,0.0,0.332271,0.040414,0.450083,0.049837,0.118375,0.018282,80
0.08,contrastive_invariance_learner,2,0.33089,0.038418,0.5625,0.044017,0.408333,0.04105,0.360417,0.039603,0.204167,0.04025,0.114583,0.030526,0.091667,0.029574,0.060417,0.024131,0.0875,0.025313,0.129167,0.031816,0.164583,0.032612,0.554167,0.047129,0.322917,0.044387,0.310417,0.038871,0.220833,0.041408,0.0,0.0,0.307884,0.040626,0.396392,0.04748,0.117792,0.01658,80
