risk_budget,method,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,groups
0.08,action_equivalence_invariance_audit_v5,0,0.703788,0.038781,0.63125,0.042582,0.808333,0.029688,0.610417,0.041068,0.045833,0.019251,0.01875,0.011613,0.004167,0.005738,0.014583,0.010385,0.020833,0.013473,0.045833,0.017409,0.204167,0.038095,0.645833,0.046986,0.685417,0.03941,0.795833,0.035336,0.0375,0.018353,0.0,0.0,0.791702,0.036672,0.882062,0.029317,0.023042,0.007036,80
0.08,action_equivalence_invariance_audit_v5,1,0.729056,0.033608,0.6,0.040926,0.783333,0.043253,0.660417,0.047723,0.05625,0.0217,0.027083,0.013558,0.01875,0.011613,0.010417,0.008896,0.01875,0.011613,0.054167,0.019941,0.179167,0.03524,0.635417,0.043523,0.68125,0.038632,0.825,0.03433,0.033333,0.015808,0.0,0.0,0.807925,0.028877,0.882333,0.028612,0.02825,0.007052,80
0.08,action_equivalence_invariance_audit_v5,2,0.717952,0.040497,0.6,0.044485,0.802083,0.037702,0.666667,0.045757,0.039583,0.018599,0.0125,0.00968,0.008333,0.00801,0.014583,0.010385,0.0125,0.00968,0.054167,0.022337,0.202083,0.036148,0.6625,0.043087,0.689583,0.042602,0.810417,0.032741,0.05,0.01874,0.0,0.0,0.800497,0.035676,0.882071,0.030541,0.018583,0.005969,80
0.08,action_equivalence_invariance_audit_v5,3,0.690305,0.037216,0.59375,0.048565,0.79375,0.036865,0.660417,0.04592,0.039583,0.016685,0.022917,0.013927,0.027083,0.014751,0.010417,0.008896,0.022917,0.013927,0.05,0.01874,0.214583,0.03544,0.629167,0.036279,0.670833,0.042296,0.78125,0.042937,0.029167,0.013965,0.0,0.0,0.779243,0.036191,0.866617,0.033647,0.026083,0.006571,80
0.08,action_equivalence_invariance_audit_v5,4,0.689722,0.044995,0.608333,0.044294,0.804167,0.036649,0.627083,0.043192,0.039583,0.018599,0.035417,0.018093,0.022917,0.013927,0.01875,0.011613,0.010417,0.008896,0.05625,0.020907,0.216667,0.035538,0.6375,0.047129,0.677083,0.041639,0.802083,0.036334,0.047917,0.021108,0.0,0.0,0.766094,0.040478,0.87075,0.030859,0.024917,0.006987,80
0.08,action_equivalence_invariance_audit_v5,5,0.662863,0.038317,0.616667,0.047708,0.783333,0.030418,0.6625,0.04149,0.0375,0.018353,0.033333,0.017817,0.035417,0.015035,0.0125,0.00968,0.020833,0.013473,0.066667,0.02143,0.214583,0.03544,0.660417,0.045179,0.64375,0.044917,0.820833,0.035716,0.041667,0.017911,0.0,0.0,0.750421,0.036877,0.850242,0.036177,0.028417,0.007487,80
0.08,action_equivalence_invariance_audit_v5,6,0.68512,0.043794,0.622917,0.03973,0.777083,0.038958,0.6125,0.040998,0.047917,0.019442,0.03125,0.014345,0.014583,0.0119,0.014583,0.010385,0.020833,0.012155,0.05625,0.022464,0.195833,0.038448,0.633333,0.043642,0.660417,0.04665,0.833333,0.034379,0.035417,0.017134,0.0,0.0,0.765974,0.040203,0.862621,0.038101,0.027458,0.007263,80
0.08,action_equivalence_invariance_audit_v5,7,0.678139,0.040847,0.625,0.040051,0.833333,0.035822,0.616667,0.036476,0.045833,0.016411,0.022917,0.013927,0.016667,0.012464,0.00625,0.006982,0.020833,0.012155,0.05625,0.019224,0.229167,0.038272,0.639583,0.039603,0.664583,0.047029,0.820833,0.037559,0.03125,0.014345,0.0,0.0,0.768443,0.039987,0.856321,0.034911,0.024792,0.006602,80
0.08,action_equivalence_invariance_audit_v5,8,0.70875,0.040428,0.5875,0.037198,0.783333,0.036476,0.63125,0.043368,0.039583,0.01564,0.010417,0.008896,0.010417,0.008896,0.008333,0.00801,0.016667,0.011026,0.033333,0.014701,0.210417,0.037093,0.69375,0.040862,0.672917,0.040862,0.789583,0.03973,0.03125,0.015477,0.0,0.0,0.789072,0.036554,0.870237,0.032035,0.019042,0.005574,80
0.08,action_equivalence_invariance_audit_v5,9,0.70189,0.037583,0.577083,0.041068,0.789583,0.034743,0.654167,0.044551,0.033333,0.017817,0.016667,0.012464,0.014583,0.010385,0.0125,0.011291,0.020833,0.014672,0.039583,0.01564,0.21875,0.036566,0.66875,0.044444,0.689583,0.041801,0.789583,0.038434,0.029167,0.013965,0.0,0.0,0.789309,0.033566,0.883267,0.031384,0.021083,0.007055,80
