case_id,task,regime,proposed_success,strongest_baseline,baseline_success,success_gap,proposed_invalid_rejection,proposed_false_acceptance,lesson
1,cable_routing,mirror_handed_contact,0.6,proposed_physical_invariance_audit_v4,0.766667,-0.166667,0.866667,0.05,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
2,deformable_folding,camera_viewpoint_shift,0.6,proposed_physical_invariance_audit_v4,0.75,-0.15,0.75,0.0,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
3,articulated_object_assembly,tool_affordance_swap,0.616667,proposed_physical_invariance_audit_v4,0.766667,-0.15,0.833333,0.116667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
4,deformable_folding,temporal_order_reversal,0.6,proposed_physical_invariance_audit_v4,0.733333,-0.133333,0.766667,0.083333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
5,peg_insertion,se2_pose_transform,0.716667,proposed_physical_invariance_audit_v4,0.833333,-0.116667,0.766667,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
6,drawer_opening,support_surface_change,0.766667,proposed_physical_invariance_audit_v4,0.866667,-0.1,0.833333,0.033333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
7,bimanual_handoff,object_scale_fixture_shift,0.733333,proposed_physical_invariance_audit_v4,0.783333,-0.05,0.866667,0.033333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
8,articulated_object_assembly,material_friction_swap,0.683333,proposed_physical_invariance_audit_v4,0.733333,-0.05,0.833333,0.05,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
9,mobile_pick_and_place,camera_viewpoint_shift,0.783333,proposed_physical_invariance_audit_v4,0.816667,-0.033333,0.85,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
10,mobile_pick_and_place,support_surface_change,0.7,proposed_physical_invariance_audit_v4,0.733333,-0.033333,0.7,0.0,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
11,cable_routing,se2_pose_transform,0.766667,proposed_physical_invariance_audit_v4,0.783333,-0.016667,0.7,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
12,drawer_opening,mirror_handed_contact,0.766667,proposed_physical_invariance_audit_v4,0.783333,-0.016667,0.75,0.033333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
13,peg_insertion,mirror_handed_contact,0.783333,proposed_physical_invariance_audit_v4,0.8,-0.016667,0.9,0.05,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
14,cable_routing,tool_affordance_swap,0.683333,proposed_physical_invariance_audit_v4,0.7,-0.016667,0.75,0.066667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
15,peg_insertion,mixed_physical_invalidity,0.85,proposed_physical_invariance_audit_v4,0.866667,-0.016667,0.766667,0.083333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
16,bimanual_handoff,material_friction_swap,0.766667,proposed_physical_invariance_audit_v4,0.766667,-0.0,0.8,0.1,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
17,cable_routing,camera_viewpoint_shift,0.716667,proposed_physical_invariance_audit_v4,0.716667,-0.0,0.75,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
18,cable_routing,support_surface_change,0.816667,proposed_physical_invariance_audit_v4,0.816667,-0.0,0.733333,0.083333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
19,bimanual_handoff,support_surface_change,0.733333,proposed_physical_invariance_audit_v4,0.733333,0.0,0.85,0.083333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
20,peg_insertion,lighting_background_shift,0.75,proposed_physical_invariance_audit_v4,0.75,0.0,0.716667,0.0,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
21,peg_insertion,temporal_order_reversal,0.866667,proposed_physical_invariance_audit_v4,0.866667,0.0,0.883333,0.083333,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
22,cable_routing,temporal_order_reversal,0.75,proposed_physical_invariance_audit_v4,0.733333,0.016667,0.833333,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
23,deformable_folding,material_friction_swap,0.766667,proposed_physical_invariance_audit_v4,0.75,0.016667,0.916667,0.016667,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
24,mobile_pick_and_place,tool_affordance_swap,0.783333,proposed_physical_invariance_audit_v4,0.766667,0.016667,0.716667,0.05,the audit helps least when the transform is genuinely action-preserving or when a filter cheaply rejects the invalidity
