risk_budget,method,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,mean_mean_coverage,ci95_mean_coverage,mean_mean_risk_score,ci95_mean_risk_score,groups
0.08,invariant_risk_minimization_proxy,0.348698,0.011502,0.47,0.016107,0.449375,0.015472,0.433125,0.014916,0.19875,0.013367,0.09375,0.007355,0.076042,0.007872,0.051875,0.007291,0.094375,0.007961,0.117917,0.012507,0.178333,0.012728,0.524167,0.015012,0.363125,0.016804,0.385,0.013649,0.214375,0.013342,0.0,0.0,0.336288,0.012304,0.45814,0.016439,0.111279,0.003242,10
0.08,no_invariance_behavior_clone,0.33365,0.013328,0.239375,0.011065,0.488958,0.012175,0.369375,0.013337,0.1925,0.013843,0.11,0.009446,0.085208,0.005252,0.055,0.006562,0.095625,0.005916,0.134792,0.007628,0.18375,0.007862,0.256042,0.009556,0.347083,0.017822,0.55625,0.008368,0.172083,0.009648,0.0,0.0,0.3246,0.013,0.472062,0.01622,0.114921,0.003347,10
0.08,oracle_invariance_validity_supervisor,0.791889,0.011586,0.675208,0.015584,0.859583,0.009913,0.701875,0.015878,0.016458,0.002615,0.0075,0.002667,0.010833,0.002342,0.00375,0.0017,0.0025,0.001334,0.043125,0.008258,0.207292,0.006333,0.752708,0.009352,0.718542,0.008017,0.841042,0.008843,0.01375,0.005519,0.0,0.0,0.871348,0.008471,0.902317,0.004667,0.008233,0.000957,10
0.08,physics_consistency_classifier,0.501878,0.012389,0.46875,0.021871,0.613333,0.014788,0.507917,0.017215,0.131875,0.005966,0.059792,0.007481,0.054375,0.005109,0.038125,0.003705,0.058542,0.006818,0.100208,0.012452,0.2025,0.01153,0.511042,0.007431,0.499792,0.015913,0.625833,0.010564,0.115625,0.008742,0.0,0.0,0.532615,0.012242,0.670753,0.017428,0.07325,0.002715,10
0.08,proposed_physical_invariance_audit_v4,0.616619,0.010739,0.565625,0.016211,0.729167,0.010167,0.604167,0.012144,0.072083,0.003907,0.033542,0.005692,0.03125,0.004304,0.0225,0.003486,0.032917,0.00655,0.068958,0.007758,0.203542,0.007891,0.618542,0.016742,0.599375,0.010821,0.718333,0.014208,0.066042,0.007229,0.0,0.0,0.683379,0.010177,0.797747,0.009388,0.040912,0.002803,10
0.08,test_time_augmentation_voting,0.310522,0.010988,0.535208,0.017835,0.363333,0.017936,0.405,0.018263,0.239792,0.00771,0.104375,0.008746,0.088542,0.007706,0.060625,0.006763,0.122917,0.003443,0.139792,0.008914,0.18375,0.013622,0.617708,0.009914,0.308125,0.015101,0.240208,0.011356,0.250417,0.011987,0.0,0.0,0.275864,0.010752,0.352634,0.014502,0.134654,0.00272,10
0.12,action_equivalence_invariance_audit_v5,0.697307,0.012079,0.60625,0.01094,0.795833,0.010402,0.640208,0.01412,0.0425,0.004047,0.023125,0.005357,0.017292,0.005744,0.012292,0.002232,0.018542,0.002543,0.05125,0.005908,0.208542,0.008661,0.650625,0.012623,0.673542,0.008947,0.806875,0.010991,0.036667,0.004683,0.0,0.0,0.78175,0.01106,0.871681,0.007261,0.024167,0.002248,10
0.12,affordance_graph_verifier,0.492807,0.011582,0.450208,0.013161,0.579375,0.009786,0.498125,0.012151,0.12875,0.00888,0.065417,0.006701,0.042292,0.004349,0.041042,0.004349,0.066042,0.00678,0.111667,0.007847,0.202708,0.016036,0.487083,0.013208,0.489583,0.014835,0.631042,0.010445,0.125417,0.009697,0.0,0.0,0.525339,0.012589,0.677664,0.012002,0.074179,0.003386,10
0.12,aggressive_augmentation_policy,0.261269,0.007651,0.518333,0.017776,0.253958,0.012833,0.354375,0.011411,0.257917,0.01191,0.118542,0.008245,0.112708,0.009917,0.073125,0.005594,0.147708,0.00932,0.160833,0.0169,0.174167,0.009705,0.607708,0.017975,0.22875,0.006142,0.113958,0.00728,0.309792,0.019007,0.0,0.0,0.216442,0.00659,0.263985,0.006592,0.154358,0.005227,10
0.12,causal_representation_proxy,0.442701,0.012399,0.474583,0.011972,0.52875,0.01453,0.4625,0.014223,0.1675,0.011359,0.083958,0.007048,0.057708,0.006807,0.046458,0.005412,0.084375,0.008172,0.1075,0.008395,0.190625,0.010565,0.521458,0.018373,0.442917,0.018263,0.501667,0.009924,0.15875,0.010017,0.0,0.0,0.454015,0.012468,0.598745,0.017798,0.095433,0.003828,10
0.12,conformal_shift_filter,0.481576,0.011576,0.440833,0.010824,0.557917,0.010255,0.475625,0.011486,0.147292,0.010718,0.065,0.005832,0.057083,0.006756,0.039792,0.007084,0.056042,0.006191,0.102917,0.005314,0.220625,0.011395,0.445417,0.013636,0.47,0.019632,0.575625,0.012476,0.1375,0.009984,0.0,0.0,0.504577,0.013225,0.647289,0.020815,0.077771,0.002895,10
0.12,contact_frame_verifier,0.502193,0.009792,0.451667,0.01259,0.589167,0.012427,0.499167,0.011838,0.132708,0.008988,0.05625,0.00541,0.055625,0.004306,0.039792,0.00301,0.066042,0.004833,0.099792,0.005527,0.203333,0.013587,0.503542,0.01219,0.484583,0.014174,0.6125,0.015779,0.12125,0.011121,0.0,0.0,0.53354,0.010209,0.669514,0.014911,0.075463,0.001756,10
0.12,contrastive_invariance_learner,0.355692,0.007312,0.518542,0.014791,0.393125,0.009625,0.423333,0.016867,0.214792,0.007994,0.104167,0.008946,0.081875,0.005446,0.06375,0.005845,0.105208,0.008847,0.135833,0.005958,0.175625,0.011582,0.592917,0.018833,0.353958,0.012242,0.300208,0.01751,0.222292,0.01042,0.0,0.0,0.335962,0.006979,0.447813,0.012428,0.122612,0.003218,10
0.12,domain_randomization,0.344824,0.008413,0.493958,0.010947,0.407708,0.013921,0.417917,0.008171,0.218333,0.010885,0.093542,0.009614,0.085208,0.006845,0.060833,0.005049,0.110625,0.007391,0.133958,0.006995,0.175625,0.01307,0.574167,0.014484,0.34,0.024582,0.312292,0.007316,0.231667,0.012924,0.0,0.0,0.32534,0.007487,0.436885,0.023367,0.123358,0.005373,10
0.12,ensemble_disagreement_filter,0.456904,0.021053,0.404583,0.015445,0.533958,0.012476,0.461667,0.010617,0.148125,0.004733,0.064792,0.005884,0.060625,0.00566,0.042083,0.006773,0.058958,0.005308,0.0975,0.012412,0.212292,0.01257,0.461875,0.013099,0.454167,0.0264,0.546875,0.010739,0.143542,0.013993,0.0,0.0,0.477168,0.023015,0.627197,0.027968,0.07965,0.002227,10
0.12,equivariant_policy,0.320038,0.006087,0.490417,0.013436,0.344375,0.011614,0.394583,0.0119,0.240833,0.013976,0.114792,0.00481,0.08875,0.005279,0.06375,0.009913,0.125208,0.008245,0.132917,0.010054,0.163958,0.009372,0.578542,0.012326,0.313333,0.014003,0.250833,0.015122,0.260208,0.009936,0.0,0.0,0.289503,0.006949,0.38651,0.017498,0.137875,0.00553,10
0.12,invariant_risk_minimization_proxy,0.358385,0.01174,0.47,0.016107,0.449375,0.015472,0.433125,0.014916,0.19875,0.013367,0.09375,0.007355,0.076042,0.007872,0.051875,0.007291,0.094375,0.007961,0.117917,0.012507,0.178333,0.012728,0.524167,0.015012,0.363125,0.016804,0.385,0.013649,0.214375,0.013342,0.0,0.0,0.350444,0.01258,0.483824,0.016888,0.111279,0.003242,10
0.12,no_invariance_behavior_clone,0.343964,0.013809,0.239375,0.011065,0.488958,0.012175,0.369375,0.013337,0.1925,0.013843,0.11,0.009446,0.085208,0.005252,0.055,0.006562,0.095625,0.005916,0.134792,0.007628,0.18375,0.007862,0.256042,0.009556,0.347083,0.017822,0.55625,0.008368,0.172083,0.009648,0.0,0.0,0.33995,0.013548,0.500572,0.01663,0.114921,0.003347,10
0.12,oracle_invariance_validity_supervisor,0.791889,0.011586,0.675208,0.015584,0.859583,0.009913,0.701875,0.015878,0.016458,0.002615,0.0075,0.002667,0.010833,0.002342,0.00375,0.0017,0.0025,0.001334,0.043125,0.008258,0.207292,0.006333,0.752708,0.009352,0.718542,0.008017,0.841042,0.008843,0.01375,0.005519,0.0,0.0,0.871351,0.008472,0.902317,0.004667,0.008233,0.000957,10
0.12,physics_consistency_classifier,0.508553,0.012435,0.46875,0.021871,0.613333,0.014788,0.507917,0.017215,0.131875,0.005966,0.059792,0.007481,0.054375,0.005109,0.038125,0.003705,0.058542,0.006818,0.100208,0.012452,0.2025,0.01153,0.511042,0.007431,0.499792,0.015913,0.625833,0.010564,0.115625,0.008742,0.0,0.0,0.54255,0.012139,0.685433,0.016626,0.07325,0.002715,10
0.12,proposed_physical_invariance_audit_v4,0.618829,0.010586,0.565625,0.016211,0.729167,0.010167,0.604167,0.012144,0.072083,0.003907,0.033542,0.005692,0.03125,0.004304,0.0225,0.003486,0.032917,0.00655,0.068958,0.007758,0.203542,0.007891,0.618542,0.016742,0.599375,0.010821,0.718333,0.014208,0.066042,0.007229,0.0,0.0,0.686762,0.009909,0.802182,0.009304,0.040912,0.002803,10
0.12,test_time_augmentation_voting,0.322041,0.011146,0.535208,0.017835,0.363333,0.017936,0.405,0.018263,0.239792,0.00771,0.104375,0.008746,0.088542,0.007706,0.060625,0.006763,0.122917,0.003443,0.139792,0.008914,0.18375,0.013622,0.617708,0.009914,0.308125,0.015101,0.240208,0.011356,0.250417,0.011987,0.0,0.0,0.292321,0.010781,0.383179,0.01432,0.134654,0.00272,10
0.16,action_equivalence_invariance_audit_v5,0.697369,0.012075,0.60625,0.01094,0.795833,0.010402,0.640208,0.01412,0.0425,0.004047,0.023125,0.005357,0.017292,0.005744,0.012292,0.002232,0.018542,0.002543,0.05125,0.005908,0.208542,0.008661,0.650625,0.012623,0.673542,0.008947,0.806875,0.010991,0.036667,0.004683,0.0,0.0,0.781855,0.011051,0.8718,0.007284,0.024167,0.002248,10
0.16,affordance_graph_verifier,0.495762,0.011588,0.450208,0.013161,0.579375,0.009786,0.498125,0.012151,0.12875,0.00888,0.065417,0.006701,0.042292,0.004349,0.041042,0.004349,0.066042,0.00678,0.111667,0.007847,0.202708,0.016036,0.487083,0.013208,0.489583,0.014835,0.631042,0.010445,0.125417,0.009697,0.0,0.0,0.529747,0.012533,0.684847,0.011953,0.074179,0.003386,10
0.16,aggressive_augmentation_policy,0.270261,0.007974,0.518333,0.017776,0.253958,0.012833,0.354375,0.011411,0.257917,0.01191,0.118542,0.008245,0.112708,0.009917,0.073125,0.005594,0.147708,0.00932,0.160833,0.0169,0.174167,0.009705,0.607708,0.017975,0.22875,0.006142,0.113958,0.00728,0.309792,0.019007,0.0,0.0,0.228989,0.0069,0.288884,0.006448,0.154358,0.005227,10
0.16,causal_representation_proxy,0.447833,0.012701,0.474583,0.011972,0.52875,0.01453,0.4625,0.014223,0.1675,0.011359,0.083958,0.007048,0.057708,0.006807,0.046458,0.005412,0.084375,0.008172,0.1075,0.008395,0.190625,0.010565,0.521458,0.018373,0.442917,0.018263,0.501667,0.009924,0.15875,0.010017,0.0,0.0,0.461409,0.012806,0.610959,0.017959,0.095433,0.003828,10
0.16,conformal_shift_filter,0.485247,0.011282,0.440833,0.010824,0.557917,0.010255,0.475625,0.011486,0.147292,0.010718,0.065,0.005832,0.057083,0.006756,0.039792,0.007084,0.056042,0.006191,0.102917,0.005314,0.220625,0.011395,0.445417,0.013636,0.47,0.019632,0.575625,0.012476,0.1375,0.009984,0.0,0.0,0.50983,0.012754,0.65558,0.020144,0.077771,0.002895,10
0.16,contact_frame_verifier,0.505598,0.009528,0.451667,0.01259,0.589167,0.012427,0.499167,0.011838,0.132708,0.008988,0.05625,0.00541,0.055625,0.004306,0.039792,0.00301,0.066042,0.004833,0.099792,0.005527,0.203333,0.013587,0.503542,0.01219,0.484583,0.014174,0.6125,0.015779,0.12125,0.011121,0.0,0.0,0.538485,0.009842,0.677176,0.014709,0.075463,0.001756,10
0.16,contrastive_invariance_learner,0.36399,0.007335,0.518542,0.014791,0.393125,0.009625,0.423333,0.016867,0.214792,0.007994,0.104167,0.008946,0.081875,0.005446,0.06375,0.005845,0.105208,0.008847,0.135833,0.005958,0.175625,0.011582,0.592917,0.018833,0.353958,0.012242,0.300208,0.01751,0.222292,0.01042,0.0,0.0,0.347519,0.006979,0.469098,0.012518,0.122612,0.003218,10
0.16,domain_randomization,0.352774,0.008941,0.493958,0.010947,0.407708,0.013921,0.417917,0.008171,0.218333,0.010885,0.093542,0.009614,0.085208,0.006845,0.060833,0.005049,0.110625,0.007391,0.133958,0.006995,0.175625,0.01307,0.574167,0.014484,0.34,0.024582,0.312292,0.007316,0.231667,0.012924,0.0,0.0,0.336494,0.00811,0.45743,0.02406,0.123358,0.005373,10
0.16,ensemble_disagreement_filter,0.460609,0.021154,0.404583,0.015445,0.533958,0.012476,0.461667,0.010617,0.148125,0.004733,0.064792,0.005884,0.060625,0.00566,0.042083,0.006773,0.058958,0.005308,0.0975,0.012412,0.212292,0.01257,0.461875,0.013099,0.454167,0.0264,0.546875,0.010739,0.143542,0.013993,0.0,0.0,0.482524,0.023112,0.636054,0.027911,0.07965,0.002227,10
0.16,equivariant_policy,0.328753,0.006503,0.490417,0.013436,0.344375,0.011614,0.394583,0.0119,0.240833,0.013976,0.114792,0.00481,0.08875,0.005279,0.06375,0.009913,0.125208,0.008245,0.132917,0.010054,0.163958,0.009372,0.578542,0.012326,0.313333,0.014003,0.250833,0.015122,0.260208,0.009936,0.0,0.0,0.301678,0.007092,0.410093,0.016992,0.137875,0.00553,10
0.16,invariant_risk_minimization_proxy,0.364787,0.01197,0.47,0.016107,0.449375,0.015472,0.433125,0.014916,0.19875,0.013367,0.09375,0.007355,0.076042,0.007872,0.051875,0.007291,0.094375,0.007961,0.117917,0.012507,0.178333,0.012728,0.524167,0.015012,0.363125,0.016804,0.385,0.013649,0.214375,0.013342,0.0,0.0,0.35964,0.01286,0.501105,0.017567,0.111279,0.003242,10
0.16,no_invariance_behavior_clone,0.350739,0.01405,0.239375,0.011065,0.488958,0.012175,0.369375,0.013337,0.1925,0.013843,0.11,0.009446,0.085208,0.005252,0.055,0.006562,0.095625,0.005916,0.134792,0.007628,0.18375,0.007862,0.256042,0.009556,0.347083,0.017822,0.55625,0.008368,0.172083,0.009648,0.0,0.0,0.349849,0.013804,0.519515,0.017261,0.114921,0.003347,10
0.16,oracle_invariance_validity_supervisor,0.791889,0.011586,0.675208,0.015584,0.859583,0.009913,0.701875,0.015878,0.016458,0.002615,0.0075,0.002667,0.010833,0.002342,0.00375,0.0017,0.0025,0.001334,0.043125,0.008258,0.207292,0.006333,0.752708,0.009352,0.718542,0.008017,0.841042,0.008843,0.01375,0.005519,0.0,0.0,0.871351,0.008472,0.902317,0.004667,0.008233,0.000957,10
0.16,physics_consistency_classifier,0.511578,0.012357,0.46875,0.021871,0.613333,0.014788,0.507917,0.017215,0.131875,0.005966,0.059792,0.007481,0.054375,0.005109,0.038125,0.003705,0.058542,0.006818,0.100208,0.012452,0.2025,0.01153,0.511042,0.007431,0.499792,0.015913,0.625833,0.010564,0.115625,0.008742,0.0,0.0,0.546998,0.011989,0.69211,0.01615,0.07325,0.002715,10
0.16,proposed_physical_invariance_audit_v4,0.619376,0.010408,0.565625,0.016211,0.729167,0.010167,0.604167,0.012144,0.072083,0.003907,0.033542,0.005692,0.03125,0.004304,0.0225,0.003486,0.032917,0.00655,0.068958,0.007758,0.203542,0.007891,0.618542,0.016742,0.599375,0.010821,0.718333,0.014208,0.066042,0.007229,0.0,0.0,0.687599,0.009677,0.803248,0.009135,0.040912,0.002803,10
0.16,test_time_augmentation_voting,0.330482,0.011425,0.535208,0.017835,0.363333,0.017936,0.405,0.018263,0.239792,0.00771,0.104375,0.008746,0.088542,0.007706,0.060625,0.006763,0.122917,0.003443,0.139792,0.008914,0.18375,0.013622,0.617708,0.009914,0.308125,0.015101,0.240208,0.011356,0.250417,0.011987,0.0,0.0,0.304165,0.011103,0.405854,0.014146,0.134654,0.00272,10
0.2,action_equivalence_invariance_audit_v5,0.697378,0.012078,0.60625,0.01094,0.795833,0.010402,0.640208,0.01412,0.0425,0.004047,0.023125,0.005357,0.017292,0.005744,0.012292,0.002232,0.018542,0.002543,0.05125,0.005908,0.208542,0.008661,0.650625,0.012623,0.673542,0.008947,0.806875,0.010991,0.036667,0.004683,0.0,0.0,0.781868,0.011057,0.871817,0.007296,0.024167,0.002248,10
0.2,affordance_graph_verifier,0.49698,0.011589,0.450208,0.013161,0.579375,0.009786,0.498125,0.012151,0.12875,0.00888,0.065417,0.006701,0.042292,0.004349,0.041042,0.004349,0.066042,0.00678,0.111667,0.007847,0.202708,0.016036,0.487083,0.013208,0.489583,0.014835,0.631042,0.010445,0.125417,0.009697,0.0,0.0,0.531507,0.012502,0.687864,0.011956,0.074179,0.003386,10
0.2,aggressive_augmentation_policy,0.276866,0.008374,0.518333,0.017776,0.253958,0.012833,0.354375,0.011411,0.257917,0.01191,0.118542,0.008245,0.112708,0.009917,0.073125,0.005594,0.147708,0.00932,0.160833,0.0169,0.174167,0.009705,0.607708,0.017975,0.22875,0.006142,0.113958,0.00728,0.309792,0.019007,0.0,0.0,0.237938,0.007309,0.307313,0.006703,0.154358,0.005227,10
0.2,causal_representation_proxy,0.450098,0.012671,0.474583,0.011972,0.52875,0.01453,0.4625,0.014223,0.1675,0.011359,0.083958,0.007048,0.057708,0.006807,0.046458,0.005412,0.084375,0.008172,0.1075,0.008395,0.190625,0.010565,0.521458,0.018373,0.442917,0.018263,0.501667,0.009924,0.15875,0.010017,0.0,0.0,0.464607,0.012764,0.616362,0.018167,0.095433,0.003828,10
0.2,conformal_shift_filter,0.486747,0.011107,0.440833,0.010824,0.557917,0.010255,0.475625,0.011486,0.147292,0.010718,0.065,0.005832,0.057083,0.006756,0.039792,0.007084,0.056042,0.006191,0.102917,0.005314,0.220625,0.011395,0.445417,0.013636,0.47,0.019632,0.575625,0.012476,0.1375,0.009984,0.0,0.0,0.511954,0.012466,0.659004,0.019778,0.077771,0.002895,10
0.2,contact_frame_verifier,0.507009,0.009464,0.451667,0.01259,0.589167,0.012427,0.499167,0.011838,0.132708,0.008988,0.05625,0.00541,0.055625,0.004306,0.039792,0.00301,0.066042,0.004833,0.099792,0.005527,0.203333,0.013587,0.503542,0.01219,0.484583,0.014174,0.6125,0.015779,0.12125,0.011121,0.0,0.0,0.540505,0.009729,0.680371,0.014613,0.075463,0.001756,10
0.2,contrastive_invariance_learner,0.369068,0.00734,0.518542,0.014791,0.393125,0.009625,0.423333,0.016867,0.214792,0.007994,0.104167,0.008946,0.081875,0.005446,0.06375,0.005845,0.105208,0.008847,0.135833,0.005958,0.175625,0.011582,0.592917,0.018833,0.353958,0.012242,0.300208,0.01751,0.222292,0.01042,0.0,0.0,0.354412,0.00699,0.48198,0.012748,0.122612,0.003218,10
0.2,domain_randomization,0.357588,0.0095,0.493958,0.010947,0.407708,0.013921,0.417917,0.008171,0.218333,0.010885,0.093542,0.009614,0.085208,0.006845,0.060833,0.005049,0.110625,0.007391,0.133958,0.006995,0.175625,0.01307,0.574167,0.014484,0.34,0.024582,0.312292,0.007316,0.231667,0.012924,0.0,0.0,0.343119,0.008737,0.46997,0.024618,0.123358,0.005373,10
0.2,ensemble_disagreement_filter,0.46205,0.021081,0.404583,0.015445,0.533958,0.012476,0.461667,0.010617,0.148125,0.004733,0.064792,0.005884,0.060625,0.00566,0.042083,0.006773,0.058958,0.005308,0.0975,0.012412,0.212292,0.01257,0.461875,0.013099,0.454167,0.0264,0.546875,0.010739,0.143542,0.013993,0.0,0.0,0.48457,0.023006,0.639493,0.027693,0.07965,0.002227,10
0.2,equivariant_policy,0.334737,0.006896,0.490417,0.013436,0.344375,0.011614,0.394583,0.0119,0.240833,0.013976,0.114792,0.00481,0.08875,0.005279,0.06375,0.009913,0.125208,0.008245,0.132917,0.010054,0.163958,0.009372,0.578542,0.012326,0.313333,0.014003,0.250833,0.015122,0.260208,0.009936,0.0,0.0,0.309808,0.007139,0.426063,0.016489,0.137875,0.00553,10
0.2,invariant_risk_minimization_proxy,0.368582,0.012146,0.47,0.016107,0.449375,0.015472,0.433125,0.014916,0.19875,0.013367,0.09375,0.007355,0.076042,0.007872,0.051875,0.007291,0.094375,0.007961,0.117917,0.012507,0.178333,0.012728,0.524167,0.015012,0.363125,0.016804,0.385,0.013649,0.214375,0.013342,0.0,0.0,0.365012,0.013095,0.511564,0.018042,0.111279,0.003242,10
0.2,no_invariance_behavior_clone,0.354309,0.01416,0.239375,0.011065,0.488958,0.012175,0.369375,0.013337,0.1925,0.013843,0.11,0.009446,0.085208,0.005252,0.055,0.006562,0.095625,0.005916,0.134792,0.007628,0.18375,0.007862,0.256042,0.009556,0.347083,0.017822,0.55625,0.008368,0.172083,0.009648,0.0,0.0,0.35492,0.013892,0.52953,0.017391,0.114921,0.003347,10
0.2,oracle_invariance_validity_supervisor,0.791889,0.011586,0.675208,0.015584,0.859583,0.009913,0.701875,0.015878,0.016458,0.002615,0.0075,0.002667,0.010833,0.002342,0.00375,0.0017,0.0025,0.001334,0.043125,0.008258,0.207292,0.006333,0.752708,0.009352,0.718542,0.008017,0.841042,0.008843,0.01375,0.005519,0.0,0.0,0.871351,0.008472,0.902317,0.004667,0.008233,0.000957,10
0.2,physics_consistency_classifier,0.512903,0.012343,0.46875,0.021871,0.613333,0.014788,0.507917,0.017215,0.131875,0.005966,0.059792,0.007481,0.054375,0.005109,0.038125,0.003705,0.058542,0.006818,0.100208,0.012452,0.2025,0.01153,0.511042,0.007431,0.499792,0.015913,0.625833,0.010564,0.115625,0.008742,0.0,0.0,0.548891,0.011917,0.694939,0.015812,0.07325,0.002715,10
