risk_budget,method,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,mean_mean_coverage,ci95_mean_coverage,mean_mean_risk_score,ci95_mean_risk_score,groups
0.08,action_equivalence_invariance_audit_v5,0.696758,0.012107,0.60625,0.01094,0.795833,0.010402,0.640208,0.01412,0.0425,0.004047,0.023125,0.005357,0.017292,0.005744,0.012292,0.002232,0.018542,0.002543,0.05125,0.005908,0.208542,0.008661,0.650625,0.012623,0.673542,0.008947,0.806875,0.010991,0.036667,0.004683,0.0,0.0,0.780868,0.011121,0.870652,0.007331,0.024167,0.002248,10
0.08,affordance_graph_verifier,0.486243,0.011784,0.450208,0.013161,0.579375,0.009786,0.498125,0.012151,0.12875,0.00888,0.065417,0.006701,0.042292,0.004349,0.041042,0.004349,0.066042,0.00678,0.111667,0.007847,0.202708,0.016036,0.487083,0.013208,0.489583,0.014835,0.631042,0.010445,0.125417,0.009697,0.0,0.0,0.515465,0.012985,0.662291,0.012092,0.074179,0.003386,10
0.08,aggressive_augmentation_policy,0.250217,0.007074,0.518333,0.017776,0.253958,0.012833,0.354375,0.011411,0.257917,0.01191,0.118542,0.008245,0.112708,0.009917,0.073125,0.005594,0.147708,0.00932,0.160833,0.0169,0.174167,0.009705,0.607708,0.017975,0.22875,0.006142,0.113958,0.00728,0.309792,0.019007,0.0,0.0,0.200615,0.006015,0.233652,0.006522,0.154358,0.005227,10
0.08,causal_representation_proxy,0.43288,0.01201,0.474583,0.011972,0.52875,0.01453,0.4625,0.014223,0.1675,0.011359,0.083958,0.007048,0.057708,0.006807,0.046458,0.005412,0.084375,0.008172,0.1075,0.008395,0.190625,0.010565,0.521458,0.018373,0.442917,0.018263,0.501667,0.009924,0.15875,0.010017,0.0,0.0,0.439688,0.012107,0.575597,0.018093,0.095433,0.003828,10
0.08,conformal_shift_filter,0.474388,0.011806,0.440833,0.010824,0.557917,0.010255,0.475625,0.011486,0.147292,0.010718,0.065,0.005832,0.057083,0.006756,0.039792,0.007084,0.056042,0.006191,0.102917,0.005314,0.220625,0.011395,0.445417,0.013636,0.47,0.019632,0.575625,0.012476,0.1375,0.009984,0.0,0.0,0.494074,0.01358,0.630794,0.02108,0.077771,0.002895,10
0.08,contact_frame_verifier,0.494967,0.009864,0.451667,0.01259,0.589167,0.012427,0.499167,0.011838,0.132708,0.008988,0.05625,0.00541,0.055625,0.004306,0.039792,0.00301,0.066042,0.004833,0.099792,0.005527,0.203333,0.013587,0.503542,0.01219,0.484583,0.014174,0.6125,0.015779,0.12125,0.011121,0.0,0.0,0.522895,0.010316,0.653404,0.014734,0.075463,0.001756,10
0.08,contrastive_invariance_learner,0.344513,0.006898,0.518542,0.014791,0.393125,0.009625,0.423333,0.016867,0.214792,0.007994,0.104167,0.008946,0.081875,0.005446,0.06375,0.005845,0.105208,0.008847,0.135833,0.005958,0.175625,0.011582,0.592917,0.018833,0.353958,0.012242,0.300208,0.01751,0.222292,0.01042,0.0,0.0,0.320144,0.006531,0.419208,0.012506,0.122612,0.003218,10
0.08,domain_randomization,0.333737,0.007967,0.493958,0.010947,0.407708,0.013921,0.417917,0.008171,0.218333,0.010885,0.093542,0.009614,0.085208,0.006845,0.060833,0.005049,0.110625,0.007391,0.133958,0.006995,0.175625,0.01307,0.574167,0.014484,0.34,0.024582,0.312292,0.007316,0.231667,0.012924,0.0,0.0,0.309457,0.006978,0.408102,0.022676,0.123358,0.005373,10
0.08,ensemble_disagreement_filter,0.449362,0.020868,0.404583,0.015445,0.533958,0.012476,0.461667,0.010617,0.148125,0.004733,0.064792,0.005884,0.060625,0.00566,0.042083,0.006773,0.058958,0.005308,0.0975,0.012412,0.212292,0.01257,0.461875,0.013099,0.454167,0.0264,0.546875,0.010739,0.143542,0.013993,0.0,0.0,0.466078,0.022858,0.609339,0.02807,0.07965,0.002227,10
0.08,equivariant_policy,0.308343,0.005519,0.490417,0.013436,0.344375,0.011614,0.394583,0.0119,0.240833,0.013976,0.114792,0.00481,0.08875,0.005279,0.06375,0.009913,0.125208,0.008245,0.132917,0.010054,0.163958,0.009372,0.578542,0.012326,0.313333,0.014003,0.250833,0.015122,0.260208,0.009936,0.0,0.0,0.272838,0.006578,0.355262,0.017546,0.137875,0.00553,10
