ablation,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
full_action_equivalence_invariance_audit_v5,1,0.760417,0.03759,0.597917,0.045644,0.8,0.03601,0.6625,0.03581,0.039583,0.016685,0.027083,0.014751,0.025,0.014352,0.00625,0.006982,0.010417,0.008896,0.0625,0.025579,0.20625,0.039517,0.654167,0.041814,0.64375,0.040986,0.808333,0.036799,0.052083,0.019787,0.0,0.0,0.86476,0.032128,80
full_action_equivalence_invariance_audit_v5,2,0.766667,0.037929,0.55,0.045535,0.8125,0.034071,0.652083,0.041579,0.035417,0.019003,0.016667,0.011026,0.027083,0.014751,0.008333,0.00801,0.022917,0.013927,0.039583,0.016685,0.185417,0.036288,0.658333,0.04105,0.691667,0.037255,0.8,0.03601,0.027083,0.013558,0.0,0.0,0.867521,0.030202,80
full_action_equivalence_invariance_audit_v5,3,0.766667,0.040512,0.61875,0.044709,0.839583,0.032063,0.65625,0.038258,0.052083,0.019787,0.025,0.013123,0.025,0.014352,0.0125,0.00968,0.020833,0.013473,0.025,0.014352,0.208333,0.042106,0.666667,0.047566,0.675,0.041864,0.797917,0.034228,0.027083,0.014751,0.0,0.0,0.861604,0.033188,80
full_action_equivalence_invariance_audit_v5,4,0.754167,0.037198,0.614583,0.047422,0.795833,0.04149,0.660417,0.039603,0.035417,0.018093,0.020833,0.013473,0.0125,0.00968,0.01875,0.011613,0.027083,0.015855,0.054167,0.019941,0.191667,0.030251,0.6,0.040093,0.647917,0.043871,0.808333,0.032924,0.033333,0.014701,0.0,0.0,0.857781,0.030841,80
full_action_equivalence_invariance_audit_v5,5,0.770833,0.040833,0.54375,0.05024,0.816667,0.036104,0.6375,0.040998,0.035417,0.019003,0.029167,0.013965,0.020833,0.012155,0.0125,0.00968,0.029167,0.016204,0.06875,0.021504,0.210417,0.040153,0.658333,0.041864,0.633333,0.042861,0.8125,0.039144,0.033333,0.017817,0.0,0.0,0.867615,0.034873,80
full_action_equivalence_invariance_audit_v5,6,0.752083,0.03898,0.558333,0.045424,0.797917,0.036612,0.660417,0.03741,0.041667,0.016942,0.020833,0.012155,0.014583,0.010385,0.008333,0.00801,0.016667,0.011026,0.047917,0.019442,0.210417,0.033757,0.647917,0.039837,0.679167,0.040998,0.775,0.039026,0.035417,0.015035,0.0,0.0,0.851073,0.032675,80
full_action_equivalence_invariance_audit_v5,7,0.7625,0.037559,0.59375,0.040613,0.8,0.03601,0.6625,0.047557,0.04375,0.019048,0.022917,0.013927,0.0125,0.00968,0.00625,0.006982,0.01875,0.011613,0.066667,0.022952,0.189583,0.040986,0.627083,0.033506,0.672917,0.042482,0.808333,0.040719,0.033333,0.017817,0.0,0.0,0.863813,0.032117,80
full_action_equivalence_invariance_audit_v5,8,0.754167,0.039829,0.602083,0.042103,0.791667,0.036057,0.710417,0.041801,0.052083,0.021425,0.016667,0.011026,0.014583,0.0119,0.016667,0.011026,0.014583,0.010385,0.052083,0.018914,0.202083,0.037523,0.683333,0.038809,0.716667,0.035538,0.8,0.035538,0.027083,0.016886,0.0,0.0,0.856312,0.034175,80
full_action_equivalence_invariance_audit_v5,9,0.754167,0.038095,0.63125,0.046012,0.81875,0.030856,0.610417,0.041477,0.05,0.019621,0.03125,0.016532,0.014583,0.010385,0.014583,0.010385,0.0125,0.00968,0.058333,0.021033,0.2,0.036936,0.641667,0.041541,0.675,0.03937,0.814583,0.030192,0.041667,0.017911,0.0,0.0,0.855854,0.032323,80
minus_action_equivalence_head,0,0.739583,0.035273,0.541667,0.042505,0.68125,0.049375,0.539583,0.043192,0.072917,0.024547,0.033333,0.015808,0.03125,0.018462,0.029167,0.015126,0.05,0.017817,0.097917,0.027066,0.185417,0.034376,0.679167,0.040584,0.454167,0.04648,0.6,0.046344,0.083333,0.024655,0.0,0.0,0.811875,0.032627,80
minus_action_equivalence_head,1,0.779167,0.038448,0.564583,0.049478,0.6625,0.042693,0.529167,0.044551,0.08125,0.025984,0.039583,0.019486,0.029167,0.016204,0.033333,0.015808,0.0375,0.017409,0.0875,0.025313,0.229167,0.035999,0.645833,0.042851,0.425,0.045349,0.572917,0.038478,0.089583,0.028435,0.0,0.0,0.838062,0.034863,80
minus_action_equivalence_head,2,0.733333,0.035633,0.585417,0.043094,0.65,0.044863,0.560417,0.042003,0.070833,0.021568,0.039583,0.01564,0.029167,0.015126,0.0125,0.011291,0.05,0.019621,0.085417,0.025326,0.179167,0.031709,0.608333,0.041541,0.433333,0.045237,0.589583,0.048946,0.089583,0.025952,0.0,0.0,0.811531,0.033428,80
minus_action_equivalence_head,3,0.745833,0.039402,0.579167,0.043477,0.683333,0.041743,0.585417,0.043094,0.08125,0.025326,0.0625,0.021252,0.039583,0.018599,0.016667,0.011026,0.041667,0.017911,0.066667,0.023676,0.233333,0.036104,0.616667,0.043642,0.460417,0.050742,0.570833,0.051903,0.108333,0.030251,0.0,0.0,0.817208,0.035365,80
minus_action_equivalence_head,4,0.745833,0.039829,0.6,0.049854,0.652083,0.042383,0.541667,0.04982,0.083333,0.02533,0.033333,0.015808,0.033333,0.014701,0.03125,0.016532,0.054167,0.019941,0.08125,0.027253,0.208333,0.036982,0.645833,0.035526,0.46875,0.047243,0.645833,0.043243,0.085417,0.026626,0.0,0.0,0.814031,0.035453,80
minus_action_equivalence_head,5,0.689583,0.043387,0.575,0.042663,0.629167,0.04648,0.570833,0.038448,0.097917,0.028286,0.041667,0.016942,0.045833,0.017409,0.016667,0.011026,0.0375,0.018353,0.108333,0.026053,0.239583,0.036218,0.633333,0.045904,0.5375,0.043087,0.591667,0.041864,0.1,0.027626,0.0,0.0,0.757177,0.040329,80
minus_action_equivalence_head,6,0.7375,0.037107,0.625,0.044825,0.6625,0.042296,0.56875,0.041375,0.091667,0.025923,0.045833,0.017409,0.033333,0.014701,0.01875,0.011613,0.029167,0.015126,0.116667,0.030418,0.18125,0.034474,0.647917,0.044634,0.49375,0.038741,0.620833,0.042296,0.0875,0.027854,0.0,0.0,0.811312,0.033652,80
minus_action_equivalence_head,7,0.733333,0.039669,0.629167,0.047201,0.68125,0.045086,0.552083,0.046704,0.089583,0.025293,0.039583,0.017668,0.03125,0.014345,0.01875,0.011613,0.0375,0.015347,0.091667,0.025923,0.19375,0.034596,0.639583,0.040862,0.46875,0.045048,0.602083,0.044823,0.095833,0.027117,0.0,0.0,0.804125,0.036761,80
minus_action_equivalence_head,8,0.691667,0.044294,0.566667,0.041337,0.660417,0.044804,0.570833,0.039317,0.083333,0.02533,0.041667,0.016942,0.03125,0.014345,0.020833,0.013473,0.054167,0.021568,0.05625,0.020083,0.170833,0.035336,0.61875,0.040342,0.485417,0.039921,0.633333,0.044409,0.110417,0.032844,0.0,0.0,0.76674,0.040568,80
minus_action_equivalence_head,9,0.73125,0.039624,0.572917,0.041842,0.654167,0.036649,0.547917,0.048339,0.10625,0.027407,0.04375,0.018139,0.04375,0.021543,0.03125,0.015477,0.041667,0.016942,0.08125,0.025326,0.20625,0.038214,0.635417,0.045421,0.45,0.046634,0.589583,0.046104,0.097917,0.028877,0.0,0.0,0.795844,0.035931,80
minus_affordance_consistency,0,0.702083,0.046378,0.570833,0.049913,0.670833,0.045377,0.575,0.042266,0.116667,0.025595,0.041667,0.01883,0.060417,0.021148,0.020833,0.013473,0.05625,0.020083,0.079167,0.025313,0.19375,0.038302,0.641667,0.041945,0.58125,0.044254,0.66875,0.037881,0.091667,0.028409,0.0,0.0,0.771,0.042731,80
minus_affordance_consistency,1,0.677083,0.039985,0.5625,0.045153,0.691667,0.041945,0.547917,0.047988,0.116667,0.029287,0.064583,0.02054,0.083333,0.024655,0.025,0.013123,0.045833,0.021724,0.09375,0.024547,0.19375,0.042083,0.610417,0.040655,0.60625,0.050072,0.6875,0.047699,0.09375,0.02716,0.0,0.0,0.749354,0.03902,80
minus_affordance_consistency,2,0.710417,0.039303,0.577083,0.035796,0.664583,0.041293,0.59375,0.039346,0.11875,0.029168,0.041667,0.01883,0.054167,0.019075,0.01875,0.012986,0.047917,0.018554,0.060417,0.020334,0.189583,0.034253,0.670833,0.042693,0.577083,0.0486,0.658333,0.050627,0.09375,0.027774,0.0,0.0,0.786479,0.036999,80
minus_affordance_consistency,3,0.697917,0.046159,0.60625,0.043192,0.691667,0.036799,0.577083,0.041882,0.108333,0.032924,0.03125,0.018462,0.045833,0.018353,0.022917,0.015091,0.054167,0.019941,0.083333,0.025988,0.172917,0.032063,0.635417,0.036796,0.55,0.044027,0.66875,0.04329,0.097917,0.027066,0.0,0.0,0.770167,0.043617,80
minus_affordance_consistency,4,0.720833,0.043008,0.545833,0.04149,0.658333,0.04105,0.533333,0.047708,0.104167,0.026231,0.041667,0.017911,0.052083,0.021425,0.010417,0.010626,0.041667,0.01883,0.083333,0.02663,0.220833,0.037107,0.641667,0.045424,0.5875,0.046115,0.652083,0.044709,0.122917,0.031693,0.0,0.0,0.786427,0.040369,80
minus_affordance_consistency,5,0.704167,0.042693,0.577083,0.04719,0.6875,0.039573,0.58125,0.042303,0.09375,0.02716,0.04375,0.019914,0.058333,0.020214,0.0125,0.011291,0.047917,0.020292,0.072917,0.023131,0.183333,0.034182,0.627083,0.043967,0.564583,0.044444,0.666667,0.040678,0.125,0.036057,0.0,0.0,0.784604,0.040535,80
minus_affordance_consistency,6,0.735417,0.041375,0.579167,0.050984,0.66875,0.04329,0.539583,0.040779,0.10625,0.027407,0.047917,0.018554,0.060417,0.023421,0.01875,0.012986,0.054167,0.022337,0.072917,0.022389,0.24375,0.035321,0.65625,0.042443,0.627083,0.041191,0.65625,0.048739,0.077083,0.022464,0.0,0.0,0.801875,0.03948,80
minus_affordance_consistency,7,0.739583,0.040613,0.572917,0.049937,0.6625,0.043864,0.560417,0.044349,0.09375,0.028376,0.047917,0.018554,0.058333,0.022581,0.03125,0.015477,0.041667,0.017911,0.075,0.023172,0.189583,0.038871,0.639583,0.045179,0.63125,0.044139,0.65,0.039669,0.10625,0.028613,0.0,0.0,0.808792,0.03674,80
minus_affordance_consistency,8,0.729167,0.039998,0.539583,0.047653,0.704167,0.041081,0.579167,0.046115,0.09375,0.027774,0.041667,0.016942,0.054167,0.019941,0.022917,0.013927,0.052083,0.022948,0.089583,0.025293,0.208333,0.035586,0.620833,0.048262,0.59375,0.048565,0.645833,0.044399,0.1125,0.030626,0.0,0.0,0.805917,0.036711,80
minus_affordance_consistency,9,0.725,0.041541,0.55625,0.042283,0.64375,0.040571,0.610417,0.039389,0.1,0.030529,0.052083,0.020622,0.047917,0.018554,0.01875,0.012986,0.045833,0.019251,0.070833,0.022337,0.214583,0.035913,0.652083,0.035913,0.577083,0.044615,0.64375,0.037093,0.104167,0.027488,0.0,0.0,0.793104,0.038852,80
minus_conservatism_calibration,0,0.714583,0.04278,0.547917,0.046195,0.735417,0.037523,0.55625,0.04997,0.095833,0.029503,0.04375,0.018139,0.039583,0.017668,0.029167,0.015126,0.072917,0.024547,0.110417,0.028435,0.179167,0.032237,0.58125,0.040675,0.552083,0.045235,0.716667,0.042861,0.0875,0.023226,0.0,0.0,0.793885,0.039742,80
minus_conservatism_calibration,1,0.75,0.038982,0.560417,0.039517,0.708333,0.0429,0.5625,0.048052,0.095833,0.026487,0.047917,0.018554,0.05,0.01874,0.035417,0.015035,0.060417,0.022689,0.085417,0.025326,0.19375,0.031532,0.64375,0.047118,0.54375,0.049563,0.672917,0.038302,0.089583,0.031799,0.0,0.0,0.823937,0.036551,80
minus_conservatism_calibration,2,0.654167,0.044928,0.527083,0.04327,0.739583,0.036218,0.55625,0.046104,0.089583,0.027835,0.058333,0.019361,0.052083,0.024375,0.033333,0.017817,0.05,0.01874,0.13125,0.033227,0.175,0.033332,0.654167,0.04417,0.577083,0.043075,0.68125,0.039921,0.08125,0.02465,0.0,0.0,0.735219,0.043956,80
minus_conservatism_calibration,3,0.727083,0.039942,0.620833,0.045748,0.708333,0.044447,0.554167,0.046042,0.091667,0.027809,0.054167,0.021568,0.0375,0.016411,0.025,0.013123,0.0625,0.022786,0.116667,0.027503,0.158333,0.032303,0.633333,0.040428,0.595833,0.042614,0.704167,0.039829,0.06875,0.025788,0.0,0.0,0.808729,0.038909,80
minus_conservatism_calibration,4,0.722917,0.041477,0.539583,0.045104,0.73125,0.036054,0.545833,0.042693,0.083333,0.025988,0.0375,0.018353,0.03125,0.014345,0.014583,0.010385,0.052083,0.019787,0.102083,0.025657,0.166667,0.036291,0.622917,0.048181,0.560417,0.046578,0.664583,0.045198,0.085417,0.026626,0.0,0.0,0.799719,0.036364,80
minus_conservatism_calibration,5,0.716667,0.041662,0.554167,0.044928,0.74375,0.036264,0.5625,0.043632,0.0875,0.029617,0.0625,0.023515,0.03125,0.015477,0.033333,0.015808,0.060417,0.022689,0.135417,0.031879,0.160417,0.035081,0.635417,0.0403,0.566667,0.047067,0.6875,0.042455,0.1,0.026375,0.0,0.0,0.796677,0.038618,80
minus_conservatism_calibration,6,0.75,0.039839,0.545833,0.050984,0.702083,0.041781,0.564583,0.044063,0.091667,0.025923,0.041667,0.01883,0.0375,0.016411,0.035417,0.015035,0.072917,0.026531,0.120833,0.034367,0.1625,0.035336,0.629167,0.042693,0.604167,0.044778,0.689583,0.045662,0.085417,0.025984,0.0,0.0,0.818542,0.03449,80
minus_conservatism_calibration,7,0.7125,0.036741,0.577083,0.045736,0.702083,0.039709,0.558333,0.043525,0.052083,0.018914,0.05,0.019621,0.014583,0.010385,0.027083,0.016886,0.0625,0.022786,0.110417,0.027835,0.189583,0.033253,0.65625,0.038258,0.58125,0.048269,0.691667,0.039026,0.072917,0.021622,0.0,0.0,0.800771,0.034309,80
minus_conservatism_calibration,8,0.747917,0.045384,0.510417,0.04625,0.720833,0.037559,0.595833,0.043399,0.072917,0.025886,0.052083,0.022948,0.035417,0.015035,0.027083,0.014751,0.083333,0.023245,0.10625,0.024131,0.210417,0.037992,0.622917,0.035701,0.541667,0.0429,0.691667,0.046525,0.09375,0.031746,0.0,0.0,0.817208,0.03907,80
minus_conservatism_calibration,9,0.754167,0.038095,0.5625,0.041245,0.685417,0.041902,0.585417,0.041088,0.072917,0.024547,0.058333,0.021033,0.033333,0.016842,0.025,0.013123,0.060417,0.024131,0.127083,0.031425,0.21875,0.037926,0.672917,0.040446,0.6,0.038809,0.670833,0.047201,0.066667,0.022952,0.0,0.0,0.831833,0.035853,80
minus_contact_frame_test,0,0.74375,0.038081,0.58125,0.047918,0.695833,0.043399,0.641667,0.046525,0.091667,0.026567,0.045833,0.017409,0.03125,0.015477,0.022917,0.015091,0.047917,0.020292,0.070833,0.0245,0.179167,0.033772,0.658333,0.043448,0.589583,0.043851,0.641667,0.046161,0.1125,0.029503,0.0,0.0,0.826323,0.03619,80
minus_contact_frame_test,1,0.714583,0.045828,0.608333,0.045794,0.675,0.040219,0.604167,0.037828,0.116667,0.033078,0.079167,0.027854,0.035417,0.017134,0.027083,0.013558,0.041667,0.01883,0.077083,0.0217,0.183333,0.038371,0.658333,0.043835,0.610417,0.043851,0.6875,0.044399,0.095833,0.029503,0.0,0.0,0.782312,0.040548,80
minus_contact_frame_test,2,0.729167,0.036465,0.527083,0.052443,0.65625,0.044766,0.5625,0.042851,0.110417,0.030164,0.060417,0.020334,0.01875,0.011613,0.025,0.014352,0.045833,0.020109,0.089583,0.030164,0.195833,0.035716,0.652083,0.039921,0.614583,0.042937,0.652083,0.041579,0.110417,0.031264,0.0,0.0,0.802781,0.032541,80
minus_contact_frame_test,3,0.714583,0.046195,0.604167,0.049095,0.622917,0.045291,0.60625,0.043967,0.1125,0.030069,0.0625,0.019599,0.029167,0.015126,0.035417,0.019003,0.058333,0.018468,0.077083,0.025952,0.164583,0.03209,0.677083,0.044766,0.64375,0.040571,0.702083,0.040965,0.079167,0.025313,0.0,0.0,0.784719,0.043518,80
minus_contact_frame_test,4,0.70625,0.036404,0.575,0.049956,0.68125,0.044709,0.564583,0.037881,0.110417,0.032326,0.08125,0.025984,0.035417,0.018093,0.027083,0.013558,0.060417,0.020334,0.091667,0.025263,0.204167,0.035336,0.610417,0.041068,0.620833,0.043864,0.65,0.040093,0.077083,0.026594,0.0,0.0,0.779219,0.034739,80
minus_contact_frame_test,5,0.716667,0.040428,0.564583,0.040882,0.704167,0.040668,0.602083,0.045198,0.108333,0.02793,0.072917,0.025226,0.045833,0.018353,0.03125,0.018462,0.04375,0.019914,0.077083,0.022464,0.216667,0.039584,0.641667,0.047955,0.5875,0.04648,0.622917,0.046758,0.135417,0.031879,0.0,0.0,0.788875,0.038502,80
minus_contact_frame_test,6,0.716667,0.03601,0.579167,0.04648,0.6375,0.040998,0.5625,0.049095,0.083333,0.02396,0.075,0.027195,0.039583,0.018599,0.020833,0.012155,0.054167,0.022337,0.0625,0.022033,0.227083,0.036404,0.645833,0.036925,0.579167,0.042693,0.647917,0.047564,0.089583,0.029023,0.0,0.0,0.786354,0.034076,80
minus_contact_frame_test,7,0.685417,0.043094,0.535417,0.052201,0.685417,0.038544,0.575,0.040636,0.097917,0.025125,0.060417,0.022689,0.025,0.013123,0.045833,0.020109,0.054167,0.02077,0.085417,0.028465,0.195833,0.038006,0.647917,0.045011,0.585417,0.03941,0.645833,0.041245,0.077083,0.025293,0.0,0.0,0.76001,0.039711,80
minus_contact_frame_test,8,0.710417,0.035701,0.577083,0.043075,0.639583,0.047368,0.608333,0.050023,0.1,0.029402,0.064583,0.022123,0.05,0.016842,0.025,0.014352,0.039583,0.019486,0.070833,0.023801,0.191667,0.031882,0.602083,0.043678,0.577083,0.039815,0.654167,0.05025,0.104167,0.032027,0.0,0.0,0.785187,0.034089,80
minus_contact_frame_test,9,0.675,0.042663,0.59375,0.046432,0.670833,0.046115,0.572917,0.044954,0.114583,0.028819,0.072917,0.025886,0.03125,0.014345,0.016667,0.01602,0.041667,0.019707,0.089583,0.024616,0.19375,0.036496,0.616667,0.043253,0.633333,0.050124,0.647917,0.048269,0.09375,0.029542,0.0,0.0,0.748,0.041208,80
minus_counterfactual_transform_witness,0,0.73125,0.040882,0.533333,0.048758,0.722917,0.039389,0.572917,0.043813,0.085417,0.023956,0.041667,0.020545,0.035417,0.016119,0.022917,0.012657,0.045833,0.020932,0.108333,0.025397,0.189583,0.032741,0.64375,0.038434,0.616667,0.046995,0.65,0.040512,0.0625,0.022033,0.0,0.0,0.810323,0.039105,80
minus_counterfactual_transform_witness,1,0.704167,0.043087,0.595833,0.039744,0.697917,0.041942,0.53125,0.039453,0.060417,0.021932,0.047917,0.019442,0.01875,0.011613,0.03125,0.014345,0.052083,0.020622,0.060417,0.021148,0.1625,0.03581,0.604167,0.044017,0.5875,0.037649,0.660417,0.048426,0.08125,0.02465,0.0,0.0,0.783323,0.039164,80
minus_counterfactual_transform_witness,2,0.729167,0.044399,0.6,0.04848,0.741667,0.037616,0.595833,0.042614,0.077083,0.023204,0.060417,0.021932,0.066667,0.023676,0.022917,0.012657,0.047917,0.018554,0.066667,0.02143,0.195833,0.032757,0.6125,0.045674,0.560417,0.044728,0.70625,0.041191,0.075,0.024586,0.0,0.0,0.807667,0.041537,80
minus_counterfactual_transform_witness,3,0.729167,0.042851,0.622917,0.049221,0.704167,0.036279,0.58125,0.03941,0.116667,0.024927,0.0375,0.018353,0.035417,0.017134,0.033333,0.014701,0.05,0.020463,0.077083,0.024616,0.183333,0.03318,0.597917,0.049546,0.60625,0.045104,0.695833,0.043399,0.072917,0.028965,0.0,0.0,0.802115,0.038331,80
minus_counterfactual_transform_witness,4,0.725,0.038591,0.552083,0.045235,0.68125,0.040342,0.579167,0.048611,0.08125,0.026626,0.045833,0.018353,0.033333,0.015808,0.03125,0.015477,0.041667,0.020545,0.077083,0.025293,0.179167,0.034758,0.65625,0.044766,0.6,0.044485,0.6875,0.041652,0.077083,0.02392,0.0,0.0,0.807115,0.035199,80
minus_counterfactual_transform_witness,5,0.708333,0.037884,0.566667,0.04294,0.75625,0.035321,0.591667,0.043057,0.0875,0.029041,0.05,0.019621,0.014583,0.010385,0.016667,0.011026,0.039583,0.018599,0.083333,0.02533,0.16875,0.038762,0.635417,0.044672,0.541667,0.042106,0.685417,0.046849,0.085417,0.025984,0.0,0.0,0.802042,0.036159,80
minus_counterfactual_transform_witness,6,0.733333,0.040512,0.545833,0.045377,0.66875,0.039196,0.560417,0.042403,0.0875,0.025313,0.045833,0.016411,0.0375,0.017409,0.033333,0.016842,0.054167,0.022337,0.075,0.023889,0.19375,0.036956,0.63125,0.038849,0.577083,0.04719,0.704167,0.04149,0.060417,0.022689,0.0,0.0,0.808292,0.038332,80
minus_counterfactual_transform_witness,7,0.71875,0.036101,0.552083,0.043329,0.691667,0.042742,0.572917,0.043426,0.1,0.024379,0.03125,0.015477,0.04375,0.018139,0.027083,0.014751,0.035417,0.017134,0.075,0.023889,0.1875,0.038711,0.614583,0.043329,0.579167,0.044247,0.679167,0.046042,0.077083,0.027835,0.0,0.0,0.80026,0.034313,80
minus_counterfactual_transform_witness,8,0.70625,0.042003,0.579167,0.045748,0.689583,0.039303,0.560417,0.047653,0.075,0.025263,0.05,0.016842,0.025,0.015484,0.029167,0.016204,0.047917,0.019442,0.095833,0.0245,0.19375,0.033606,0.629167,0.044247,0.56875,0.044139,0.6375,0.044928,0.06875,0.021504,0.0,0.0,0.783396,0.038941,80
minus_counterfactual_transform_witness,9,0.7,0.040428,0.56875,0.040132,0.702083,0.040132,0.610417,0.044235,0.070833,0.023081,0.04375,0.019048,0.03125,0.017524,0.033333,0.015808,0.03125,0.018462,0.089583,0.0217,0.222917,0.035796,0.6125,0.042614,0.583333,0.043487,0.683333,0.04294,0.091667,0.026567,0.0,0.0,0.787771,0.036361,80
minus_fixed_risk_acceptor,0,0.766667,0.038371,0.55625,0.046104,0.727083,0.034499,0.608333,0.045424,0.058333,0.022581,0.045833,0.019251,0.025,0.014352,0.022917,0.016171,0.05625,0.022464,0.083333,0.02396,0.220833,0.038448,0.675,0.049956,0.6,0.04294,0.685417,0.043871,0.089583,0.027835,0.0,0.0,0.848042,0.034932,80
minus_fixed_risk_acceptor,1,0.716667,0.044787,0.59375,0.045328,0.685417,0.041088,0.625,0.045572,0.085417,0.029628,0.058333,0.018468,0.03125,0.017524,0.020833,0.013473,0.04375,0.019048,0.075,0.025923,0.19375,0.035559,0.614583,0.038806,0.595833,0.042216,0.720833,0.042614,0.0875,0.024637,0.0,0.0,0.79701,0.040843,80
