ablation,seed,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_action_equivalence_f1,ci95_action_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_frame_violation,ci95_contact_frame_violation,mean_affordance_violation,ci95_affordance_violation,mean_temporal_order_violation,ci95_temporal_order_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_observation_equivalence_score,ci95_observation_equivalence_score,mean_action_equivalence_score,ci95_action_equivalence_score,mean_physical_validity_margin,ci95_physical_validity_margin,mean_over_invariance_rate,ci95_over_invariance_rate,mean_regret_to_oracle,ci95_regret_to_oracle,mean_utility,ci95_utility,groups
conformal_only,0,0.627083,0.043192,0.402083,0.03797,0.58125,0.046849,0.44375,0.045736,0.14375,0.034743,0.047917,0.019442,0.052083,0.020622,0.025,0.013123,0.045833,0.019251,0.075,0.020872,0.19375,0.03741,0.439583,0.044349,0.477083,0.048877,0.564583,0.044823,0.141667,0.036337,0.0,0.0,0.680365,0.042432,80
conformal_only,1,0.641667,0.041541,0.458333,0.041296,0.516667,0.044103,0.447917,0.048478,0.170833,0.035336,0.0625,0.022033,0.060417,0.021148,0.035417,0.015035,0.064583,0.0236,0.104167,0.02869,0.239583,0.037138,0.49375,0.046287,0.472917,0.046287,0.579167,0.043864,0.14375,0.032741,0.0,0.0,0.681146,0.039921,80
conformal_only,2,0.620833,0.051968,0.408333,0.044975,0.54375,0.047475,0.50625,0.039174,0.166667,0.033382,0.05,0.01874,0.058333,0.020214,0.03125,0.016532,0.05,0.017817,0.108333,0.027319,0.204167,0.036741,0.45,0.045904,0.45,0.045904,0.572917,0.045699,0.129167,0.031816,0.0,0.0,0.670198,0.049903,80
conformal_only,3,0.64375,0.04783,0.458333,0.0452,0.560417,0.047653,0.497917,0.047029,0.1375,0.029503,0.041667,0.01883,0.0625,0.023515,0.033333,0.017817,0.060417,0.021148,0.085417,0.02324,0.222917,0.033856,0.477083,0.048181,0.470833,0.04417,0.61875,0.045458,0.135417,0.033931,0.0,0.0,0.698719,0.045663,80
conformal_only,4,0.639583,0.047368,0.447917,0.046341,0.56875,0.042183,0.48125,0.046122,0.166667,0.036753,0.0625,0.022786,0.035417,0.016119,0.039583,0.017668,0.0625,0.022033,0.108333,0.02793,0.25,0.040678,0.452083,0.046921,0.485417,0.043948,0.547917,0.050391,0.15,0.034182,0.0,0.0,0.683,0.046653,80
conformal_only,5,0.602083,0.047386,0.416667,0.046489,0.552083,0.048825,0.504167,0.042693,0.170833,0.038971,0.058333,0.020214,0.0625,0.022786,0.033333,0.015808,0.05625,0.020083,0.116667,0.026882,0.225,0.035869,0.483333,0.044485,0.458333,0.042505,0.5625,0.047699,0.145833,0.041245,0.0,0.0,0.647333,0.045635,80
conformal_only,6,0.65,0.040926,0.466667,0.050124,0.529167,0.038885,0.475,0.046887,0.147917,0.033379,0.05,0.019621,0.054167,0.019941,0.039583,0.017668,0.058333,0.023317,0.091667,0.025263,0.21875,0.036101,0.45625,0.042203,0.50625,0.040446,0.625,0.049138,0.154167,0.033772,0.0,0.0,0.700156,0.040774,80
conformal_only,7,0.61875,0.044709,0.44375,0.048251,0.541667,0.040051,0.485417,0.043172,0.158333,0.037616,0.04375,0.019914,0.05,0.02424,0.035417,0.016119,0.064583,0.0236,0.070833,0.023801,0.195833,0.030626,0.445833,0.040166,0.475,0.046161,0.570833,0.047841,0.14375,0.036635,0.0,0.0,0.669458,0.043705,80
conformal_only,8,0.629167,0.04149,0.458333,0.045941,0.545833,0.044247,0.491667,0.041459,0.15625,0.032011,0.0625,0.023515,0.0375,0.019251,0.025,0.013123,0.054167,0.021568,0.08125,0.025984,0.25,0.039413,0.452083,0.043948,0.464583,0.048164,0.579167,0.043864,0.120833,0.029617,0.0,0.0,0.680271,0.040947,80
conformal_only,9,0.641667,0.039882,0.429167,0.041408,0.575,0.046815,0.483333,0.043719,0.1375,0.035716,0.070833,0.0245,0.070833,0.02077,0.041667,0.019707,0.058333,0.021821,0.085417,0.022502,0.202083,0.036612,0.44375,0.043851,0.4625,0.044627,0.579167,0.04149,0.139583,0.035081,0.0,0.0,0.693594,0.039606,80
full_action_equivalence_invariance_audit_v5,0,0.758333,0.033835,0.6125,0.043008,0.810417,0.034253,0.69375,0.036496,0.039583,0.01564,0.033333,0.017817,0.016667,0.011026,0.010417,0.008896,0.020833,0.014672,0.04375,0.018139,0.225,0.033934,0.6625,0.042693,0.714583,0.041983,0.797917,0.029456,0.0375,0.019251,0.0,0.0,0.865073,0.028763,80
